Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Arian Foster\FostAr00,HOU,RB,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,330,400.5,360,192,1,1
2,Jamaal Charles\CharJa00,KAN,WR,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.4,3,242,291,261,124,1,2
3,Peyton Hillis\HillPe00,CLE,RB,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,244,306.9,266.4,106,2,3
4,Adrian Peterson\PeteAd01,MIN,RB,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,242,283.4,258.9,104,3,4
5,Chris Johnson\JohnCh04,TEN,RB,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,233,281.4,251.9,95,4,5
6,Brandon Lloyd\LloyBr00,DEN,WR,29,16,11,0,0,0,0,0,1,-18,-18,0,153,77,1448,18.81,11,209,289,247.5,91,2,6
7,Dwayne Bowe\BoweDw00,KAN,WR,26,16,16,0,0,0,0,0,1,4,4,0,133,72,1162,16.14,15,207,281.1,241.6,89,3,7
8,Darren McFadden\McFaDa00,OAK,RB,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,226,277.4,245.9,89,5,8
9,Roddy White\WhitRo00,ATL,WR,29,16,16,0,0,0,0,0,1,3,3,0,179,115,1389,12.08,10,203,320.7,259.7,85,4,9
10,Michael Vick\VickMi00,PHI,QB,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,,0,316,322.8,311.3,85,1,10
11,Rashard Mendenhall\MendRa00,PIT,RB,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,222,250,231.5,84,6,11
12,LeSean McCoy\McCoLe01,PHI,RB,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,221,304.2,258.2,83,7,12
13,Greg Jennings\JennGr00,GNB,WR,27,16,16,0,0,0,0,0,1,-1,-1,0,125,76,1265,16.64,12,198,276.4,234.4,81,5,13
14,Matt Forte\FortMa00,CHI,RB,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,218,273.1,240.1,80,9,14
15,Michael Turner\TurnMi00,ATL,RB,28,16,15,0,0,0,0,0,334,1371,4.1,12,20,12,85,7.08,0,218,231.6,221.6,80,8,15
16,Ray Rice\RiceRa00,BAL,RB,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,214,282.6,245.1,76,10,16
17,Aaron Rodgers\RodgAa00,GNB,QB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,,0,306,321.5,313.5,75,2,17
18,Mike Wallace\WallMi00,PIT,WR,24,16,16,0,0,0,0,0,5,39,7.8,0,98,60,1257,20.95,10,190,252.1,218.6,72,6,18
19,Calvin Johnson\JohnCa00,DET,WR,25,15,15,0,0,0,0,0,4,32,8,0,137,77,1120,14.55,12,189,268.7,226.7,71,7,19
20,Tom Brady\BradTo00,NWE,QB,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,,0,301,306.5,302,70,3,20
21,Ahmad Bradshaw\BradAh00,NYG,RB,24,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,205,254.4,221.4,67,11,21
22,Maurice Jones-Drew\DrewMa00,JAX,RB,25,14,14,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,204,244.1,220.1,66,12,22
23,Steven Jackson\JackSt00,STL,RB,27,16,16,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,198,249.9,220.4,61,13,23
24,Jason Witten\WittJa00,DAL,TE,28,16,16,0,0,0,0,0,0,0,,0,128,94,1002,10.66,9,156,252.7,202.2,60,1,24
25,Philip Rivers\RivePh00,SDG,QB,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,,0,290,302.1,295.6,58,4,25
26,Peyton Manning\MannPe00,IND,QB,34,16,16,450,679,4700,33,17,18,18,1,0,0,0,0,,0,288,306.3,301.8,57,5,26
27,Reggie Wayne\WaynRe00,IND,WR,32,16,16,0,0,0,0,0,0,0,,0,175,111,1355,12.21,6,172,285,226,54,8,27
28,Hakeem Nicks\NickHa01,NYG,WR,22,13,12,0,0,0,0,0,0,0,,0,128,79,1052,13.32,11,171,252.7,209.7,53,9,28
