Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,LAR,Jared Goff\GoffJa00,QB,21,2016,0,0,0,0,0,6,88,161,879,4,5,6,12,1,,,,,,,California,College Stats
1,2,PHI,Carson Wentz\WentCa00,QB,23,2016,0,0,1,0,0,14,339,540,3385,13,13,41,110,2,1,7,0,,,,North Dakota St.,College Stats
1,3,SDG,Joey Bosa\BosaJo00,DE,21,2016,0,0,0,0,0,10,,,,,,,,,,,,20,,7.5,Ohio St.,College Stats
1,4,DAL,Ezekiel Elliott\ElliEz00,RB,21,2016,0,0,1,0,0,14,,,,,,310,1551,13,31,351,1,,,,Ohio St.,College Stats
1,5,JAX,Jalen Ramsey\RamsJa00,CB,21,2016,0,0,1,0,0,14,,,,,,,,,,,,47,1,,Florida St.,College Stats
1,6,BAL,Ronnie Stanley\StanRo00,T,22,2016,0,0,1,0,0,10,,,,,,,,,,,,,,,Notre Dame,College Stats
1,7,SFO,DeForest Buckner\BuckDe00,DE,22,2016,0,0,1,0,0,13,,,,,,,,,,,,41,,5.0,Oregon,College Stats
1,8,TEN,Jack Conklin\ConkJa00,T,22,2016,0,0,1,0,0,14,,,,,,,,,,,,,,,Michigan St.,College Stats
1,9,CHI,Leonard Floyd\FloyLe00,OLB,24,2016,0,0,1,0,0,11,,,,,,,,,,,,22,,7.0,Georgia,College Stats
1,10,NYG,Eli Apple\ApplEl00,CB,21,2016,0,0,0,0,0,12,,,,,,,,,,,,35,1,,Ohio St.,College Stats
1,11,TAM,Vernon Hargreaves\HargVe00,CB,21,2016,0,0,1,0,0,14,,,,,,,,,,,,58,1,,Florida,College Stats
1,12,NOR,Sheldon Rankins\RankSh00,DT,22,2016,0,0,0,0,0,7,,,,,,,,,,,,11,,3.0,Louisville,College Stats
1,13,MIA,Laremy Tunsil\TunsLa00,T,22,2016,0,0,1,0,0,12,,,,,,,,,,,,,,,Mississippi,College Stats
