Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
2,43,NOR,Roman Harper\HarpRo21,DB,23,2016,0,2,8,47,35,154,,,,,,,,,,,,631,11,18.0,Alabama,College Stats
2,44,NYG,Sinorice Moss\MossSi00,WR,22,2009,0,0,0,4,4,37,,,,,,1,4,0,39,421,3,2,,,Miami (FL),College Stats
2,45,TEN,LenDale White\WhitLe01,RB,21,2009,0,0,1,14,14,58,,,,,,628,2349,24,42,204,0,5,,,USC,College Stats
2,46,STL,Joe Klopfenstein\KlopJo00,TE,22,2009,0,0,3,3,3,49,,,,,,,,,34,397,2,2,,,Colorado,College Stats
2,47,GNB,Daryn Colledge\CollDa20,T,24,2014,0,0,9,57,39,141,,,,,,,,,,,,6,,,Boise St.,
2,48,MIN,Cedric Griffin\GrifCe20,DB,23,2012,0,0,4,26,25,89,,,,,,,,,0,0,0,350,8,,Texas,College Stats
2,49,NYJ,Kellen Clemens\ClemKe00,QB,23,2016,0,0,2,10,3,54,344,630,4017,16,20,80,232,3,0,0,0,,,,Oregon,College Stats
2,50,SDG,Marcus McNeill\McNeMa20,T,22,2011,0,2,6,48,48,82,,,,,,,,,,,,2,,,Auburn,College Stats
2,51,MIN,Ryan Cook\CookRy20,C,23,2012,0,0,3,23,17,90,,,,,,,,,,,,1,,,New Mexico,
2,52,GNB,Greg Jennings\JennGr00,WR,23,2015,0,2,8,65,54,143,,,,,,1,-1,0,571,8291,64,21,,,West. Michigan,College Stats
2,53,DAL,Anthony Fasano\FasaAn00,TE,22,2016,0,0,8,22,2,162,,,,,,,,,286,3159,35,13,,,Notre Dame,College Stats
2,54,KAN,Bernard Pollard\PollBe20,DB,21,2014,0,0,7,36,12,126,,,,,,,,,,,,549,12,10.5,Purdue,College Stats
2,55,CIN,Andrew Whitworth\WhitAn20,T,24,2016,1,2,10,78,78,166,,,,,,,,,1,1,1,7,,,LSU,
2,56,BAL,Chris Chester\ChesCh21,G,23,2016,0,0,9,50,18,167,,,,,,,,,,,,6,,,Oklahoma,College Stats
2,57,CHI,Devin Hester\HestDe99,DB,23,2016,3,4,4,49,44,156,0,0,0,0,0,36,116,1,255,3311,16,17,,,Miami (FL),College Stats
2,58,CAR,Richard Marshall\MarsRi20,DB,21,2014,0,0,4,32,24,124,,,,,,,,,,,,526,18,7.0,Fresno St.,College Stats
2,59,TAM,Jeremy Trueblood\TrueJe20,T,23,2013,0,0,6,36,31,116,,,,,,,,,,,,5,,,Boston Col.,
