Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,HOU,David Carr\CarrDa00,QB,23,2012,0,0,5,44,41,94,1353,2267,14452,65,71,305,1328,9,0,0,0,6,,,Fresno St.,College Stats
1,2,CAR,Julius Peppers\PeppJu99,DE,22,2016,3,9,14,126,69,232,,,,,,,,,0,0,0,521,11,143.5,North Carolina,College Stats
1,3,DET,Joey Harrington\HarrJo00,QB,23,2007,0,0,6,30,22,81,1424,2538,14693,79,85,142,402,0,3,8,0,4,,,Oregon,College Stats
1,4,BUF,Mike Williams\WillMi22,T,22,2009,0,0,3,25,22,59,,,,,,,,,,,,,,,Texas,
1,5,SDG,Quentin Jammer\JammQu20,DB,23,2013,0,0,10,52,52,183,,,,,,,,,,,,630,21,,Texas,College Stats
1,6,KAN,Ryan Sims\SimsRy20,DT,22,2010,0,0,3,25,16,105,,,,,,,,,,,,112,1,8.5,North Carolina,
1,7,MIN,Bryant McKinnie\McKiBr21,T,23,2013,0,1,10,65,53,179,,,,,,,,,,,,1,,,Miami (FL),College Stats
1,8,DAL,Roy Williams\WillRo03,DB,22,2010,1,5,5,56,52,114,,,,,,,,,,,,471,20,7.5,Oklahoma,College Stats
1,9,JAX,John Henderson\HendJo99,DT,23,2011,0,2,7,64,62,146,,,,,,,,,0,0,0,378,,29.0,Tennessee,
1,10,CIN,Levi Jones\JoneLe23,T,23,2009,0,0,7,47,43,103,,,,,,,,,0,0,0,2,,,Arizona St.,
1,11,IND,Dwight Freeney\FreeDw00,DE,22,2016,3,7,12,78,75,207,,,,,,,,,,,,281,,122.5,Syracuse,College Stats
1,12,ARI,Wendell Bryant\BryaWe20,DT,22,2004,0,0,0,4,4,29,,,,,,,,,,,,28,,1.5,Wisconsin,
1,13,NOR,Donte' Stallworth\StalDo00,WR,21,2012,0,0,4,39,22,115,,,,,,20,98,0,321,4837,35,18,,,Tennessee,College Stats
1,14,NYG,Jeremy Shockey\ShocJe00,TE,22,2011,1,4,10,48,35,136,,,,,,1,6,0,547,6143,37,11,,,Miami (FL),College Stats
1,15,TEN,Albert Haynesworth\HaynAl20,DT,21,2011,2,2,7,55,48,123,,,,,,,,,,,,261,,30.5,Tennessee,
1,16,CLE,William Green\GreeWi01,RB,22,2005,0,0,2,14,14,46,,,,,,568,2109,9,45,277,0,3,,,Boston Col.,College Stats
1,17,OAK,Phillip Buchanon\BuchPh20,DB,22,2011,0,0,5,34,14,122,,,,,,,,,,,,348,20,1.0,Miami (FL),College Stats
1,18,ATL,T.J. Duckett\DuckT.00,RB,21,2008,0,0,1,21,17,93,0,1,0,0,0,717,2814,44,35,303,0,3,,,Michigan St.,College Stats
1,19,DEN,Ashley Lelie\LeliAs00,WR,22,2008,0,0,4,35,30,107,,,,,,20,172,0,217,3749,15,6,,,Hawaii,College Stats
1,20,GNB,Javon Walker\WalkJa00,WR,23,2009,0,1,2,39,24,83,,,,,,14,132,1,267,4011,31,12,,,Florida St.,College Stats
1,21,NWE,Daniel Graham\GrahDa00,TE,23,2012,0,0,8,19,13,148,,,,,,,,,224,2490,25,16,,,Colorado,College Stats
1,22,NYJ,Bryan Thomas\ThomBr21,DE,23,2012,0,0,7,52,52,157,,,,,,,,,,,,318,,33.5,Ala-Birmingham,College Stats
1,23,OAK,Napoleon Harris\HarrNa20,LB,23,2008,0,0,4,33,14,100,,,,,,,,,,,,346,4,8.5,Northwestern,College Stats
1,24,BAL,Ed Reed\ReedEd00,DB,24,2013,5,9,10,106,103,174,,,,,,,,,0,0,0,531,64,6.0,Miami (FL),College Stats
1,25,NOR,Charles Grant\GranCh21,DE,24,2009,0,0,7,45,45,118,,,,,,,,,,,,331,1,47.0,Georgia,College Stats
1,26,PHI,Lito Sheppard\ShepLi99,DB,21,2011,1,2,4,44,39,126,,,,,,,,,,,,303,19,3.0,Florida,College Stats
1,27,SFO,Mike Rumph\RumpMi20,DB,22,2006,0,0,0,8,8,43,,,,,,,,,,,,122,3,2.0,Miami (FL),College Stats
1,28,SEA,Jerramy Stevens\StevJe00,TE,22,2010,0,0,2,18,13,121,,,,,,,,,202,2217,22,14,,,Washington,College Stats
1,29,CHI,Marc Colombo\ColoMa20,T,23,2011,0,0,6,42,2,111,,,,,,,,,,,,3,,,Boston Col.,
1,30,PIT,Kendall Simmons\SimmKe20,G,23,2009,0,0,5,38,37,84,,,,,,,,,,,,,,,Auburn,
1,31,STL,Robert Thomas\ThomRo20,LB,22,2008,0,0,4,21,13,84,,,,,,,,,,,,245,1,2.0,UCLA,
1,32,WAS,Patrick Ramsey\RamsPa00,QB,23,2008,0,0,1,14,13,37,511,913,5930,35,30,47,89,2,,,,1,,,Tulane,College Stats
2,33,HOU,Jabar Gaffney\GaffJa00,WR,21,2012,0,0,6,42,13,158,1,5,39,1,0,9,56,0,447,5690,24,13,,,Florida,College Stats
2,34,CAR,DeShaun Foster\FostDe00,RB,22,2008,0,0,2,31,29,79,0,1,0,0,0,927,3570,11,142,1129,5,7,,,UCLA,College Stats
2,35,DET,Kalimba Edwards\EdwaKa20,DE,22,2008,0,0,2,21,15,101,,,,,,,,,,,,165,,31.0,South Carolina,College Stats
2,36,BUF,Josh Reed\ReedJo01,WR,22,2009,0,0,3,28,28,115,,,,,,14,57,0,311,3575,10,15,,,LSU,College Stats
2,37,DAL,Andre Gurode\GuroAn20,G,24,2013,0,5,8,65,62,161,,,,,,,,,,,,5,,,Colorado,College Stats
2,38,MIN,Raonall Smith\SmitRa20,LB,23,2007,0,0,0,7,6,50,,,,,,,,,,,,70,1,2.5,Washington St.,College Stats
2,39,SDG,Toniu Fonoti\FonoTo20,G,20,2006,0,0,2,18,18,40,,,,,,,,,,,,,,,Nebraska,
2,40,JAX,Mike Pearson\PearMi20,T,22,2005,0,0,2,18,18,40,,,,,,,,,,,,,,,Florida,College Stats
2,41,CIN,Lamont Thompson\ThomLa21,DB,24,2007,0,0,3,17,1,83,,,,,,,,,,,,205,9,1.0,Washington St.,College Stats
2,42,IND,Larry Tripplett\TripLa20,DT,23,2007,0,0,4,26,13,92,,,,,,,,,,,,132,1,8.5,Washington,
2,43,KAN,Eddie Freeman\FreeEd20,DE,24,2003,0,0,0,1,1,20,,,,,,,,,,,,15,,4.0,Ala-Birmingham,
2,44,NOR,LeCharles Bentley\BentLe00,G,22,2005,0,2,4,30,30,57,,,,,,,,,,,,,,,Ohio St.,College Stats
2,45,TEN,Tank Williams\WillTa20,DB,22,2007,0,0,4,27,27,70,,,,,,,,,,,,211,5,3.5,Stanford,College Stats
2,46,NYG,Tim Carter\CartTi00,WR,23,2009,0,0,1,9,8,71,,,,,,11,97,0,81,1090,4,2,,,Auburn,College Stats
2,47,CLE,Andre' Davis\DaviAn01,WR,23,2009,0,0,1,24,12,104,,,,,,9,32,0,156,2470,17,40,,,Virginia Tech,College Stats
2,48,SDG,Reche Caldwell\CaldRe00,WR,23,2007,0,0,1,20,11,71,1,1,20,0,0,14,108,0,152,1851,11,10,,,Florida,College Stats
2,49,ARI,Levar Fisher\FishLe20,LB,23,2003,0,0,1,6,6,23,,,,,,,,,,,,72,,1.0,North Carolina St.,College Stats
2,50,HOU,Chester Pitts\PittCh20,T,23,2010,0,0,7,45,44,121,,,,,,,,,,,,1,,,San Diego St.,
2,51,DEN,Clinton Portis\PortCl00,RB,21,2010,0,2,7,71,30,113,3,6,47,3,0,2230,9923,75,247,2018,5,16,,,Miami (FL),College Stats
2,52,BAL,Anthony Weaver\WeavAn20,DE,22,2008,0,0,6,40,26,103,,,,,,,,,,,,200,3,15.5,Notre Dame,College Stats
2,53,OAK,Langston Walker\WalkLa20,T,23,2010,0,0,4,31,19,120,,,,,,,,,,,,,,,California,
2,54,SEA,Maurice Morris\MorrMa00,RB,22,2011,0,0,0,29,19,145,,,,,,867,3648,13,151,1163,5,27,,,Oregon,College Stats
2,55,OAK,Doug Jolley\JollDo00,TE,23,2006,0,0,2,11,8,74,,,,,,,,,120,1303,6,5,,,BYU,College Stats
2,56,WAS,Ladell Betts\BettLa00,RB,23,2010,0,0,1,32,31,111,,,,,,821,3326,15,188,1646,3,17,,,Iowa,College Stats
2,57,NYJ,Jon McGraw\McGrJo21,DB,23,2011,0,0,2,18,4,122,,,,,,2,8,0,,,,277,10,2.0,Kansas St.,College Stats
2,58,PHI,Michael Lewis\LewiMi99,DB,22,2010,0,1,6,43,26,128,,,,,,,,,,,,550,12,11.5,Colorado,College Stats
2,59,PHI,Sheldon Brown\BrowSh20,DB,23,2012,0,0,9,53,36,175,,,,,,,,,,,,491,26,8.0,South Carolina,College Stats
2,60,SEA,Anton Palepoi\PaleAn20,DE,24,2005,0,0,0,4,2,35,,,,,,,,,,,,32,,4.0,UNLV,
2,61,BUF,Ryan Denney\DennRy20,DE,25,2010,0,0,2,24,24,113,,,,,,,,,2,44,2,191,,23.5,BYU,College Stats
2,62,PIT,Antwaan Randle El\RandAn00,WR,23,2010,0,0,4,41,26,143,22,27,323,6,0,79,438,0,370,4467,15,13,,,Indiana,College Stats
2,63,DAL,Antonio Bryant\BryaAn00,WR,21,2009,0,0,5,37,8,106,,,,,,11,65,0,372,5685,30,19,,,Pittsburgh,College Stats
2,64,STL,Travis Fisher\FishTr20,DB,23,2009,0,0,5,25,19,90,,,,,,,,,,,,299,9,,Central Florida,College Stats
2,65,NWE,Deion Branch\BranDe00,WR,23,2012,0,0,8,52,40,140,0,0,0,0,0,8,33,0,518,6644,39,23,,,Louisville,College Stats
3,66,HOU,Fred Weary\WearFr21,G,25,2007,0,0,3,19,19,63,,,,,,,,,,,,,,,Tennessee,
3,67,CIN,Matt Schobel\SchoMa00,TE,23,2008,0,0,1,11,8,99,,,,,,,,,117,1270,12,9,,,TCU,College Stats
3,68,DET,Andre' Goodman\GoodAn20,DB,24,2011,0,0,6,35,7,127,,,,,,,,,,,,286,19,1.0,South Carolina,
3,69,SFO,Saleem Rasheed\RashSa20,LB,21,2005,0,0,0,4,4,45,,,,,,,,,,,,38,,1.0,Alabama,
3,70,MIN,Willie Offord\OffoWi20,DB,23,2005,0,0,0,5,5,47,,,,,,,,,,,,58,2,,South Carolina,College Stats
3,71,SDG,Ben Leber\LebeBe20,LB,23,2011,0,0,8,51,16,143,,,,,,,,,,,,393,5,24.0,Kansas St.,College Stats
3,72,CHI,Roosevelt Williams\WillRo26,DB,24,2003,0,0,0,4,2,20,,,,,,,,,,,,20,,,Tuskegee,
3,73,CAR,Will Witherspoon\WithWi20,LB,22,2013,0,0,9,60,27,189,,,,,,,,,,,,755,14,26.0,Georgia,
3,74,IND,Joe Jefferson\JeffJo20,DB,22,2005,0,0,0,3,3,27,,,,,,,,,,,,26,1,,West. Kentucky,
3,75,DAL,Derek Ross\RossDe20,DB,22,2004,0,0,1,7,7,33,,,,,,,,,,,,73,6,,Ohio St.,College Stats
3,76,CLE,Melvin Fowler\FowlMe20,C,23,2008,0,0,3,25,7,88,,,,,,,,,,,,1,,,Maryland,
3,77,TEN,Rocky Calmus\CalmRo20,LB,23,2004,0,0,1,6,6,27,,,,,,,,,,,,60,2,1.0,Oklahoma,College Stats
3,78,NYG,Jeff Hatch\HatcJe20,T,23,2003,0,0,0,1,1,4,,,,,,,,,,,,,,,Pennsylvania,
3,79,WAS,Rashad Bauman\BaumRa20,DB,23,2005,0,0,0,3,2,43,,,,,,,,,,,,50,2,,Oregon,College Stats
3,80,ATL,Will Overstreet\OverWi20,LB,22,2003,0,0,0,1,1,6,,,,,,,,,,,,6,,,Tennessee,College Stats
3,81,ARI,Josh McCown\McCoJo01,QB,23,2016,0,0,4,31,13,82,1254,2121,14242,79,69,204,952,8,3,10,0,6,,,Sam Houston St.,College Stats
3,82,NOR,James Allen\AlleJa21,LB,22,2005,0,0,1,9,9,48,,,,,,,,,,,,69,1,,Oregon St.,
3,83,HOU,Charles Hill\HillCh20,DT,21,2002,0,0,0,1,1,16,,,,,,,,,,,,1,,,Maryland,
3,84,STL,Lamar Gordon\GordLa00,RB,22,2006,0,0,0,8,6,41,,,,,,226,774,3,62,490,2,3,,,North Dakota St.,
3,85,SEA,Kris Richard\RichKr20,DB,22,2005,0,0,0,2,2,39,,,,,,,,,,,,46,,1.0,USC,College Stats
3,86,TAM,Marquis Walker,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats
3,87,WAS,Cliff Russell\RussCl00,WR,23,2008,0,0,0,0,0,23,,,,,,3,15,0,5,45,0,2,,,Utah,College Stats
3,88,NYJ,Chris Baker\BakeCh00,TE,22,2010,0,0,5,13,12,131,,,,,,,,,168,1763,15,10,,,Michigan St.,College Stats
3,89,JAX,Akin Ayodele\AyodAk20,LB,23,2010,0,0,7,48,24,143,,,,,,,,,,,,553,7,9.5,Purdue,College Stats
3,90,MIA,Seth McKinney\McKiSe20,C,23,2009,0,0,3,21,15,93,,,,,,,,,,,,,,,Texas A&M,
3,91,PHI,Brian Westbrook\WestBr00,RB,23,2010,1,2,6,69,68,121,1,2,25,1,0,1385,6335,41,442,3940,30,16,,,Villanova,
3,92,GNB,Marques Anderson\AndeMa22,DB,23,2005,0,0,2,13,10,54,,,,,,,,,,,,154,6,,UCLA,College Stats
3,93,CHI,Terrence Metcalf\MetcTe20,G,24,2008,0,0,1,10,10,78,,,,,,,,,,,,,,,Mississippi,College Stats
3,94,PIT,Chris Hope\HopeCh21,DB,22,2012,0,1,7,44,15,163,,,,,,,,,1,81,1,552,20,4.0,Florida St.,College Stats
3,95,STL,Eric Crouch,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Nebraska,College Stats
3,96,DEN,Dorsett Davis\DaviDo23,DE,23,2003,0,0,0,1,1,14,,,,,,,,,,,,8,,,Mississippi St.,
3,97,BUF,Coy Wire\WireCo20,DB,23,2010,0,0,1,16,11,127,,,,,,,,,,,,182,,5.0,Stanford,College Stats
3,98,ARI,Dennis Johnson\JohnDe22,DE,22,2004,0,0,1,5,5,29,,,,,,,,,,,,37,,3.0,Kentucky,
4,99,HOU,Jonathan Wells\WellJo00,RB,23,2005,0,0,1,10,10,60,,,,,,374,1167,10,44,323,2,20,,,Ohio St.,College Stats
4,100,CAR,Dante Wesley\WeslDa20,DB,23,2010,0,0,0,10,9,107,,,,,,,,,,,,94,,2.0,Ark-Pine Bluff,
4,101,CLE,Kevin Bentley\BentKe20,LB,22,2011,0,0,1,23,11,136,,,,,,,,,,,,274,2,1.0,Northwestern,College Stats
4,102,SFO,Jeff Chandler\chandjef01,K,23,2004,0,0,0,1,1,13,,,,,,,,,,,,1,,,Florida,College Stats
4,103,SDG,Justin Peelle\PeelJu00,TE,23,2011,0,0,4,8,2,151,,,,,,,,,123,1003,12,25,,,Oregon,College Stats
4,104,CHI,Alex Brown\BrowAl20,DE,23,2010,0,0,8,59,53,143,,,,,,,,,,,,337,5,45.5,Florida,College Stats
4,105,MIN,Brian Williams\WillBr22,DB,23,2011,0,0,6,35,16,132,,,,,,,,,,,,408,19,5.0,North Carolina St.,College Stats
4,106,IND,David Thornton\ThorDa20,LB,23,2009,0,0,7,42,18,121,,,,,,,,,,,,560,5,5.0,North Carolina,College Stats
4,107,KAN,Omar Easy\EasyOm00,FB,24,2005,0,0,0,0,0,53,,,,,,4,1,0,6,42,1,24,,,Penn St.,College Stats
4,108,JAX,David Garrard\GarrDa00,QB,24,2010,0,1,5,61,61,86,1406,2281,16003,89,54,380,1746,17,1,-6,0,7,,,East Carolina,College Stats
4,109,CIN,Travis Dorsch\DorsTr20,P,23,2002,0,0,0,0,0,1,,,,,,,,,,,,,,,Purdue,College Stats
4,110,TEN,Mike Echols\EchoMi20,DB,23,2003,0,0,0,0,0,9,,,,,,,,,,,,24,,,Wisconsin,College Stats
4,111,CLE,Ben Taylor\TaylBe20,LB,24,2006,0,0,1,15,14,49,,,,,,,,,,,,157,1,,Virginia Tech,College Stats
4,112,BAL,Dave Zastudil\ZastDa20,P,23,2014,0,0,0,18,5,162,0,1,0,0,0,4,-15,0,,,,7,,,Ohio,College Stats
4,113,ARI,Nate Dwyer,DT,,,0,0,0,,,,,,,,,,,,,,,,,,Kansas,
4,114,MIA,Randy McMichael\McMiRa01,TE,23,2012,0,0,10,33,25,164,,,,,,1,8,0,426,4539,24,25,,,Georgia,College Stats
4,115,TEN,Tony Beckham\BeckTo20,DB,23,2007,0,0,0,5,5,56,,,,,,,,,,,,50,1,,Wisc-Stout,
4,116,ATL,Martin Bibla\BiblMa20,G,22,2004,0,0,0,3,3,31,,,,,,,,,,,,,,,Miami (FL),
4,117,NWE,Rohan Davey\DaveRo01,QB,24,2004,0,0,0,0,0,7,8,19,88,0,0,6,-5,0,,,,,,,LSU,College Stats
4,118,JAX,Chris Luzar\LuzaCh00,TE,23,2003,0,0,0,0,0,23,,,,,,,,,4,35,0,,,,Virginia,College Stats
4,119,TAM,Travis Stephens\StepTr01,RB,24,2002,0,0,0,0,0,1,,,,,,,,,1,6,0,,,,Tennessee,College Stats
4,120,SEA,Terreal Bierria\BierTe20,DB,21,2004,0,0,1,6,6,29,,,,,,,,,,,,62,1,,Georgia,College Stats
4,121,NYJ,Alan Harper\HarpAl20,DT,23,2004,0,0,0,1,1,11,,,,,,,,,,,,3,,,Fresno St.,College Stats
4,122,CLE,Darnell Sanders\SandDa00,TE,23,2004,0,0,1,1,1,28,,,,,,,,,18,118,2,1,,,Ohio St.,College Stats
4,123,BAL,Ron Johnson\JohnRo03,WR,22,2003,0,0,0,1,1,22,,,,,,,,,11,126,1,6,,,Minnesota,College Stats
4,124,PHI,Scott Peters\PeteSc20,C,23,2003,0,0,0,1,,7,,,,,,,,,,,,,,,Arizona St.,
4,125,NOR,Keyuo Craver\CravKe20,DB,22,2003,0,0,0,2,2,22,,,,,,,,,,,,22,,,Nebraska,College Stats
4,126,NWE,Jarvis Green\GreeJa21,DE,23,2009,0,0,2,29,29,121,,,,,,,,,,,,152,,28.0,LSU,
4,127,SFO,Kevin Curtis,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,College Stats
4,128,PIT,Larry Foote\FootLa20,LB,22,2014,0,0,8,62,52,187,,,,,,,,,,,,543,4,25.0,Michigan,College Stats
4,129,DAL,Jamar Martin\MartJa01,FB,22,2006,0,0,0,0,0,25,,,,,,4,7,0,6,24,0,1,,,Ohio St.,College Stats
4,130,STL,Travis Scott,G,,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,
4,131,DEN,Sam Brandon\BranSa20,DB,23,2006,0,0,1,9,9,63,,,,,,,,,,,,93,1,,UNLV,College Stats
