Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,IND,Andrew Luck\LuckAn00,QB,23,2016,0,3,4,45,45,68,1527,2582,18469,128,65,279,1413,13,,,,6,,,Stanford,College Stats
1,2,WAS,Robert Griffin\GrifRo01,QB,22,2016,0,1,2,32,32,40,720,1145,8587,40,25,264,1596,10,0,0,0,2,,,Baylor,College Stats
1,3,CLE,Trent Richardson\RichTr00,RB,22,2014,0,0,3,17,7,46,,,,,,614,2032,17,113,912,2,1,,,Alabama,College Stats
1,4,MIN,Matt Kalil\KaliMa00,T,23,2016,0,1,4,32,32,66,,,,,,,,,,,,1,,,USC,College Stats
1,5,JAX,Justin Blackmon\BlacJu00,WR,22,2013,0,0,1,9,9,20,,,,,,3,22,0,93,1280,6,1,,,Oklahoma St.,College Stats
1,6,DAL,Morris Claiborne\ClaiMo00,DB,22,2016,0,0,2,12,12,47,,,,,,,,,,,,126,4,,LSU,College Stats
1,7,TAM,Mark Barron\BarrMa00,DB,22,2016,0,0,3,18,12,76,,,,,,,,,,,,356,5,7.0,Alabama,College Stats
1,8,MIA,Ryan Tannehill\TannRy00,QB,24,2016,0,0,5,42,42,77,1653,2637,18455,106,66,216,1065,6,2,5,0,5,,,Texas A&M,College Stats
1,9,CAR,Luke Kuechly\KuecLu00,LB,21,2016,3,3,5,53,53,71,,,,,,,,,,,,453,12,9.0,Boston Col.,College Stats
1,10,BUF,Stephon Gilmore\GilmSt00,DB,22,2016,0,0,5,19,19,67,,,,,,,,,,,,194,14,,South Carolina,College Stats
1,11,KAN,Dontari Poe\PoexDo00,DT,22,2016,0,2,5,35,35,76,,,,,,2,2,2,,,,153,,13.0,Memphis,College Stats
1,12,PHI,Fletcher Cox\CoxxFl00,DT,21,2016,0,1,5,36,36,77,,,,,,,,,,,,185,,28.5,Mississippi St.,College Stats
1,13,ARI,Michael Floyd\FloyMi00,WR,22,2016,0,0,2,24,24,76,,,,,,1,2,0,242,3739,23,2,,,Notre Dame,College Stats
1,14,STL,Michael Brockers\BrocMi00,DT,21,2016,0,0,5,28,28,73,,,,,,,,,,,,121,,14.5,LSU,College Stats
1,15,SEA,Bruce Irvin\IrviBr00,DE,24,2016,0,0,4,24,24,72,,,,,,,,,,,,139,3,29.0,West Virginia,College Stats
1,16,NYJ,Quinton Coples\CoplQu00,DE,22,2015,0,0,2,20,20,62,,,,,,,,,,,,75,,16.5,North Carolina,College Stats
1,17,CIN,Dre Kirkpatrick\KirkDr00,DB,22,2016,0,0,2,12,12,64,,,,,,,,,,,,144,9,1.0,Alabama,College Stats
1,18,SDG,Melvin Ingram\IngrMe00,DE,23,2016,0,0,3,14,14,59,,,,,,,,,,,,137,,23.5,South Carolina,College Stats
1,19,CHI,Shea McClellin\McClSh00,DE,23,2016,0,0,3,13,13,64,,,,,,,,,,,,113,,8.5,Boise St.,College Stats
1,20,TEN,Kendall Wright\WrigKe01,WR,22,2016,0,0,3,21,21,65,,,,,,11,90,0,278,3223,18,4,,,Baylor,College Stats
1,21,NWE,Chandler Jones\JoneCh03,DE,22,2016,0,1,5,31,31,69,,,,,,,,,,,,170,1,44.0,Syracuse,College Stats
1,22,CLE,Brandon Weeden\WeedBr00,QB,28,2015,0,0,1,14,11,34,559,965,6462,31,30,61,201,1,0,-9,0,,,,Oklahoma St.,College Stats
1,23,DET,Riley Reiff\ReifRi00,T,23,2016,0,0,4,26,26,76,,,,,,,,,,,,2,,,Iowa,College Stats
1,24,PIT,David DeCastro\DeCaDa00,G,22,2016,1,1,4,29,29,65,,,,,,,,,,,,2,,,Stanford,College Stats
1,25,NWE,Dont'a Hightower\HighDo01,LB,22,2016,0,0,5,26,26,66,,,,,,,,,,,,250,,17.0,Alabama,College Stats
1,26,HOU,Whitney Mercilus\MercWh00,DE,22,2016,0,0,4,24,24,76,,,,,,,,,,,,143,,35.5,Illinois,College Stats
1,27,CIN,Kevin Zeitler\ZeitKe00,G,22,2016,0,0,5,24,24,70,,,,,,,,,,,,1,,,Wisconsin,College Stats
1,28,GNB,Nick Perry\PerrNi00,DE,22,2016,0,0,1,9,9,58,,,,,,,,,,,,108,1,20.5,USC,College Stats
1,29,MIN,Harrison Smith\SmitHa00,DB,23,2016,0,1,4,24,24,65,,,,,,,,,,,,300,12,7.5,Notre Dame,College Stats
