Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,HOU,Jadeveon Clowney\ClowJa00,DE,21,2016,0,0,2,6,6,30,,,,,,,,,,,,71,,9.5,South Carolina,College Stats
1,2,STL,Greg Robinson\RobiGr01,T,21,2016,0,0,3,12,12,45,,,,,,,,,,,,2,,,Auburn,College Stats
1,3,JAX,Blake Bortles\BortBl00,QB,22,2016,0,0,3,19,19,44,952,1629,10615,67,51,160,1060,5,,,,2,,,Central Florida,College Stats
1,4,BUF,Sammy Watkins\WatkSa00,WR,21,2016,0,0,2,17,17,35,,,,,,3,9,0,142,2274,16,3,,,Clemson,College Stats
1,5,OAK,Khalil Mack\MackKh00,LB,23,2016,1,1,3,21,21,46,,,,,,,,,,,,162,1,30.0,Buffalo,College Stats
1,6,ATL,Jake Matthews\MattJa00,T,22,2016,0,0,3,16,16,45,,,,,,,,,,,,1,,,Texas A&M,College Stats
1,7,TAM,Mike Evans\EvanMi00,WR,21,2016,0,0,3,17,17,44,,,,,,,,,226,3416,25,4,,,Texas A&M,College Stats
1,8,CLE,Justin Gilbert\GilbJu00,DB,22,2016,0,0,0,3,3,34,,,,,,,,,,,,30,1,,Oklahoma St.,College Stats
1,9,MIN,Anthony Barr\BarrAn00,LB,22,2016,0,1,3,16,16,40,,,,,,,,,,,,142,1,9.5,UCLA,College Stats
1,10,DET,Eric Ebron\EbroEr00,TE,21,2016,0,0,2,6,6,38,,,,,,1,1,1,119,1342,7,,,,North Carolina,College Stats
1,11,TEN,Taylor Lewan\LewaTa00,T,23,2016,0,0,2,10,10,40,,,,,,,,,1,10,1,,,,Michigan,College Stats
1,12,NYG,Odell Beckham\BeckOd00,WR,21,2016,0,2,3,23,23,41,0,1,0,0,0,9,47,0,272,3928,35,3,,,LSU,College Stats
1,13,STL,Aaron Donald\DonaAa00,DT,23,2016,1,2,3,30,30,46,,,,,,,,,,,,112,,27.0,Pittsburgh,College Stats
1,14,CHI,Kyle Fuller\FullKy00,DB,22,2015,0,0,2,11,11,32,,,,,,,,,,,,96,6,,Virginia Tech,
1,15,PIT,Ryan Shazier\ShazRy00,LB,22,2016,0,0,2,9,9,32,,,,,,,,,,,,125,2,7.0,Ohio St.,College Stats
1,16,DAL,Zack Martin\MartZa00,G,23,2016,1,2,3,22,22,46,,,,,,,,,,,,1,,,Notre Dame,College Stats
1,17,BAL,C.J. Mosley\MoslC.00,LB,22,2016,0,1,3,22,22,44,,,,,,,,,,,,224,5,7.0,Alabama,College Stats
1,18,NYJ,Calvin Pryor\PryoCa00,DB,22,2016,0,0,3,10,10,42,,,,,,,,,,,,126,2,0.5,Louisville,College Stats
1,19,MIA,Ja'Wuan James\JameJa01,T,22,2016,0,0,2,12,12,37,,,,,,,,,,,,1,,,Tennessee,College Stats
1,20,NOR,Brandin Cooks\CookBr00,WR,21,2016,0,0,2,14,14,40,,,,,,21,121,1,207,2744,20,2,,,Oregon St.,College Stats
1,21,GNB,Ha Ha Clinton-Dix\ClinHa00,DB,21,2016,0,0,3,11,11,46,,,,,,,,,,,,208,8,4.5,Alabama,College Stats
1,22,CLE,Johnny Manziel\ManzJo00,QB,21,2015,0,0,0,5,5,15,147,258,1675,7,7,46,259,1,,,,,,,Texas A&M,College Stats
1,23,KAN,Dee Ford\FordDe00,LB,23,2016,0,0,1,4,4,43,,,,,,,,,,,,47,,15.5,Auburn,College Stats
1,24,CIN,Darqueze Dennard\DennDa00,DB,22,2016,0,0,0,2,2,37,,,,,,,,,,,,54,1,1.0,Michigan St.,College Stats
1,25,SDG,Jason Verrett\VerrJa00,DB,23,2016,0,1,1,10,10,24,,,,,,,,,,,,71,5,,TCU,College Stats
