Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Shaun Alexander\AlexSh00,SEA,RB,28,16,16,0,0,0,0,0,370,1880,5.08,27,29,15,78,5.2,1,364,379.3,366.3,221,1,1
2,Larry Johnson\JohnLa00,KAN,RB,26,16,9,0,0,0,0,0,336,1750,5.21,20,49,33,343,10.39,1,335,371.8,346.8,192,2,2
3,LaDainian Tomlinson\TomlLa00,SDG,RB,26,16,16,3,4,47,3,0,339,1462,4.31,18,77,51,370,7.25,2,317,372.6,339.6,174,3,3
4,Tiki Barber\BarbTi00,NYG,RB,30,16,16,0,1,0,0,0,357,1860,5.21,9,70,54,530,9.81,2,307,366.5,333,164,4,4
5,Edgerrin James\JameEd00,IND,RB,27,15,15,0,0,0,0,0,360,1506,4.18,13,50,44,337,7.66,1,268,317.3,288.3,125,5,5
6,Steve Smith\SmitSt01,CAR,WR,26,16,16,0,0,0,0,0,4,25,6.25,1,150,103,1563,15.17,12,237,341.8,286.3,120,1,6
7,Clinton Portis\PortCl00,WAS,RB,24,16,16,1,2,17,1,0,352,1516,4.31,11,41,30,216,7.2,0,246,280.4,257.9,103,6,7
8,Antonio Gates\GateAn00,SDG,TE,25,15,15,0,0,0,0,0,0,0,,0,140,89,1101,12.37,10,170,262.1,214.6,97,1,8
9,Larry Fitzgerald\FitzLa00,ARI,WR,22,16,16,0,0,0,0,0,8,41,5.13,0,165,103,1409,13.68,10,205,311,256.5,88,2,9
10,Santana Moss\MossSa00,WAS,WR,26,16,16,0,0,0,0,0,3,-3,-1,0,134,84,1483,17.65,9,202,287.5,241,85,3,10
11,Chad Johnson\JohnCh01,CIN,WR,27,16,16,0,0,0,0,0,5,33,6.6,0,155,97,1432,14.76,9,201,300,248,84,4,11
12,LaMont Jordan\JordLa00,OAK,RB,27,14,14,0,0,0,0,0,272,1025,3.77,9,103,70,563,8.04,2,227,301.8,259.8,84,7,12
13,Rudi Johnson\JohnRu00,CIN,RB,26,16,14,0,0,0,0,0,337,1458,4.33,12,30,23,90,3.91,0,227,252.3,237.3,84,8,13
14,Joey Galloway\GallJo00,TAM,WR,34,16,16,0,0,0,0,0,2,4,2,0,152,83,1287,15.51,10,189,275.1,230.6,72,5,14
15,Anquan Boldin\BoldAn00,ARI,WR,25,14,14,0,1,0,0,0,12,45,3.75,0,171,102,1402,13.75,7,189,292.7,237.7,72,6,15
16,Torry Holt\HoltTo00,STL,WR,29,14,14,0,0,0,0,0,1,2,2,0,163,102,1331,13.05,9,187,291.3,236.3,71,7,16
17,Chris Chambers\ChamCh00,MIA,WR,27,16,16,0,0,0,0,0,12,92,7.67,0,166,82,1118,13.63,11,187,269.5,223,70,8,17
18,Marvin Harrison\HarrMa00,IND,WR,33,15,15,0,0,0,0,0,0,0,,0,134,82,1146,13.98,12,187,271.6,227.6,70,9,18
19,Jeremy Shockey\ShocJe00,NYG,TE,25,15,15,0,0,0,0,0,0,0,,0,121,65,891,13.71,7,133,201.1,165.6,60,2,19
20,Carson Palmer\PalmCa00,CIN,QB,26,16,16,345,509,3836,32,12,34,41,1.21,1,0,0,0,,0,270,282,276.5,60,1,20
21,Thomas Jones\JoneTh00,CHI,RB,27,15,15,0,0,0,0,0,314,1335,4.25,9,39,26,143,5.5,0,202,232.8,212.8,59,9,21
22,Mike Anderson\AndeMi00,DEN,,32,15,15,0,0,0,0,0,239,1014,4.24,12,21,18,212,11.78,1,201,223.6,207.6,58,10,22
23,Todd Heap\HeapTo00,BAL,TE,25,16,16,0,0,0,0,0,0,0,,0,114,75,855,11.4,7,128,204.5,163,55,3,23
24,Steven Jackson\JackSt00,STL,RB,22,15,15,0,0,0,0,0,254,1046,4.12,8,55,43,320,7.44,2,197,244.1,215.1,54,11,24
25,Hines Ward\WardHi00,PIT,WR,29,15,15,0,0,0,0,0,3,10,3.33,0,114,69,975,14.13,11,165,236,198,48,10,25
26,Alge Crumpler\CrumAl00,ATL,TE,28,16,16,0,0,0,0,0,0,0,,0,118,65,877,13.49,5,120,187.2,151.2,47,4,26
27,Plaxico Burress\BurrPl00,NYG,WR,28,16,15,0,0,0,0,0,0,0,,0,166,76,1214,15.97,7,163,241.9,200.4,47,11,27
28,Tom Brady\BradTo00,NWE,QB,28,16,16,334,530,4110,26,14,27,89,3.3,1,0,0,0,,0,255,270.3,265.3,45,2,28
29,Warrick Dunn\DunnWa00,ATL,RB,30,16,16,0,0,0,0,0,280,1416,5.06,3,37,29,220,7.59,1,188,221.1,199.1,45,12,29
30,Terry Glenn\GlenTe00,DAL,WR,31,16,16,0,0,0,0,0,2,-4,-2,1,119,62,1136,18.32,7,161,226.2,192.2,45,12,30
31,Jason Witten\WittJa00,DAL,TE,23,16,16,0,0,0,0,0,0,0,,0,89,66,757,11.47,6,112,180.7,144.7,39,5,31
32,Peyton Manning\MannPe00,IND,QB,29,16,16,305,453,3747,28,10,33,45,1.36,0,0,0,0,,0,248,258.9,253.4,38,3,32
33,Donald Driver\DrivDo00,GNB,WR,30,16,16,0,0,0,0,0,2,13,6.5,0,146,86,1221,14.2,5,153,242.4,196.4,37,13,33
34,T.J. Houshmandzadeh\HousTJ00,CIN,WR,28,14,12,0,0,0,0,0,8,62,7.75,1,115,78,956,12.26,7,150,230.3,187.8,33,14,34
35,Randy Moss\MossRa00,OAK,WR,28,16,15,0,0,0,0,0,0,0,,0,123,60,1005,16.75,8,149,211.5,178.5,32,15,35
36,Rod Smith\SmitRo01,DEN,WR,35,16,16,0,1,0,0,0,1,7,7,0,126,85,1105,13,6,147,234.2,187.7,31,16,36
37,Tony Gonzalez\GonzTo00,KAN,TE,29,16,16,0,0,0,0,0,0,0,,0,116,78,905,11.6,2,103,183.5,141.5,30,6,37
38,Keenan McCardell\McCaKe00,SDG,WR,35,16,16,0,0,0,0,0,2,6,3,0,108,70,917,13.1,9,146,219.3,181.3,30,17,38
39,Willis McGahee\McGaWi00,BUF,RB,24,16,15,0,0,0,0,0,325,1247,3.84,5,37,28,178,6.36,0,173,206,185.5,29,13,39
