Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Chris Johnson\JohnCh04,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.6,14,71,50,503,10.06,2,349,403.4,370.9,202,1,1
2,Adrian Peterson\PeteAd01,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.4,18,57,43,436,10.14,0,290,335.4,304.4,143,2,2
3,Maurice Jones-Drew\DrewMa00,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,273,330.5,297,126,3,3
4,Aaron Rodgers\RodgAa00,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,,0,351,359,348,115,1,4
5,Ray Rice\RiceRa00,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9,1,252,334.6,288.1,105,4,5
6,Andre Johnson\JohnAn02,HOU,WR,28,16,16,0,0,0,0,0,2,10,5,0,171,101,1569,15.53,9,214,317.4,263.4,102,1,6
7,Randy Moss\MossRa00,NWE,WR,32,16,16,0,0,0,0,0,0,0,,0,137,83,1264,15.23,13,206,291.4,245.9,94,2,7
8,Miles Austin\AustMi00,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1,0,124,81,1320,16.3,11,198,281.3,237.3,86,3,8
9,Frank Gore\GoreFr00,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,231,286.6,252.6,84,5,9
10,Thomas Jones\JoneTh00,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.8,0,230,242,233,83,6,10
11,DeSean Jackson\JackDe00,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,189,267.8,229.3,77,4,11
12,Vernon Davis\DaviVe00,SFO,TE,25,16,16,0,0,0,0,0,0,0,,0,128,78,965,12.37,13,175,255.5,213.5,76,1,12
13,Larry Fitzgerald\FitzLa00,ARI,WR,26,16,16,0,0,0,0,0,0,0,,0,153,97,1092,11.26,13,187,287.2,235.7,75,5,13
14,Dallas Clark\ClarDa00,IND,TE,30,16,16,0,0,0,0,0,2,11,5.5,0,133,100,1106,11.06,10,172,274.2,220.7,73,2,14
15,Reggie Wayne\WaynRe00,IND,WR,31,16,16,0,1,0,0,1,0,0,,0,149,100,1264,12.64,10,184,288.4,235.4,72,6,15
16,Drew Brees\BreeDr00,NOR,QB,30,15,15,363,514,4388,34,11,22,33,1.5,2,1,1,-4,-4,0,306,316.4,307.9,70,2,16
17,Ricky Williams\WillRi00,MIA,RB,32,16,7,0,1,0,0,1,241,1121,4.65,11,53,35,264,7.54,2,217,256,230,70,7,17
18,Roddy White\WhitRo00,ATL,WR,28,16,16,0,0,0,0,0,1,2,2,0,165,85,1153,13.56,11,182,269,223,69,7,18
19,Sidney Rice\RiceSi01,MIN,WR,23,16,14,0,1,0,0,0,0,0,,0,121,83,1312,15.81,8,179,264.7,219.7,67,8,19
20,Antonio Gates\GateAn00,SDG,TE,29,16,16,0,0,0,0,0,0,0,,0,114,79,1157,14.65,8,164,245.2,202.2,65,3,20
21,Ryan Grant\GranRy00,GNB,RB,27,16,16,0,0,0,0,0,282,1253,4.44,11,30,25,197,7.88,0,211,241.5,222.5,64,8,21
22,Brandon Marshall\MarsBr00,DEN,WR,25,15,13,0,0,0,0,0,7,39,5.57,0,154,101,1120,11.09,10,176,279.9,226.4,64,9,22
