Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Marshall Faulk\FaulMa00,STL,RB,28,14,14,0,1,0,0,0,260,1382,5.32,12,104,83,765,9.22,9,343,430.2,381.2,208,1,1
2,Priest Holmes\HolmPr00,KAN,RB,28,16,16,0,0,0,0,0,327,1555,4.76,8,75,62,614,9.9,2,277,342.9,303.9,142,2,2
3,Ahman Green\GreeAh00,GNB,RB,24,16,16,0,0,0,0,0,304,1387,4.56,9,82,62,594,9.58,2,264,329.6,290.1,129,3,3
4,Shaun Alexander\AlexSh00,SEA,RB,24,16,12,0,0,0,0,0,309,1318,4.27,14,59,44,343,7.8,2,262,310.1,280.1,127,4,4
5,Marvin Harrison\HarrMa00,IND,WR,29,16,16,0,0,0,0,0,1,3,3,0,164,109,1524,13.98,15,243,354.7,297.2,114,1,5
6,Curtis Martin\MartCu00,NYJ,RB,28,16,16,1,1,18,1,0,333,1513,4.54,10,63,53,320,6.04,0,248,306,272.5,113,5,6
7,Terrell Owens\OwenTe00,SFO,WR,28,16,16,0,0,0,0,0,4,21,5.25,0,155,93,1412,15.18,16,239,335.3,285.8,110,2,7
8,Corey Dillon\DillCo00,CIN,RB,27,16,16,0,1,0,0,1,340,1315,3.87,10,61,34,228,6.71,3,230,268.8,243.3,95,6,8
9,Jeff Garcia\GarcJe00,SFO,QB,31,16,16,316,504,3538,32,12,72,254,3.53,5,0,0,0,,0,305,318.4,307.9,95,1,9
10,Kurt Warner\WarnKu00,STL,QB,30,16,16,375,546,4830,36,22,28,60,2.14,0,0,0,0,,0,301,321.2,313.2,91,2,10
11,LaDainian Tomlinson\TomlLa00,SDG,RB,22,16,16,0,0,0,0,0,339,1236,3.65,10,74,59,367,6.22,0,220,281.3,241.8,85,7,11
12,Ricky Williams\WillRi00,NOR,RB,24,16,16,0,0,0,0,0,313,1245,3.98,6,88,60,511,8.52,1,218,279.6,239.6,83,8,12
13,David Boston\BostDa00,ARI,WR,23,16,15,0,0,0,0,0,5,35,7,0,175,98,1598,16.31,8,211,311.8,259.3,82,3,13
14,Antowain Smith\SmitAn00,NWE,RB,29,16,15,0,0,0,0,0,287,1157,4.03,12,28,19,192,10.11,1,213,235.9,218.4,78,9,14
15,Rod Smith\SmitRo01,DEN,WR,31,15,14,0,0,0,0,0,3,27,9,0,172,113,1343,11.88,11,205,320.5,260.5,76,4,15
16,Rich Gannon\GannRi00,OAK,QB,36,16,16,361,549,3828,27,9,63,231,3.67,2,0,0,0,,0,278,286.7,274.2,68,3,16
17,Steve McNair\McNaSt00,TEN,QB,28,15,15,264,431,3350,21,12,75,414,5.52,5,0,0,0,,0,271,286.9,278.4,61,4,17
18,Stephen Davis\DaviSt00,WAS,RB,27,16,16,0,0,0,0,0,356,1432,4.02,5,37,28,205,7.32,0,196,226.7,203.7,61,10,18
19,Randy Moss\MossRa00,MIN,WR,24,16,16,1,1,29,0,0,3,38,12.67,0,154,82,1233,15.04,10,188,273.3,229.3,59,5,19
20,Brett Favre\FavrBr00,GNB,QB,32,16,16,314,510,3921,32,15,38,56,1.47,1,0,0,0,,0,268,278.4,267.4,58,5,20
21,Peyton Manning\MannPe00,IND,QB,25,16,16,343,547,4131,26,23,35,157,4.49,4,0,0,0,,0,267,292.4,282.9,57,6,21
22,Tony Gonzalez\GonzTo00,KAN,TE,25,16,16,1,1,40,0,0,1,9,9,0,118,73,917,12.56,6,132,208.2,168.7,56,1,22
23,Jimmy Smith\SmitJi00,JAX,WR,32,16,16,0,0,0,0,0,1,-3,-3,0,176,112,1373,12.26,8,185,299.5,240,56,6,23
24,Donovan McNabb\McNaDo00,PHI,QB,25,16,16,285,493,3233,25,12,82,482,5.88,2,0,0,0,,0,266,279.5,269.5,55,7,24
25,Dominic Rhodes\RhodDo00,IND,RB,22,15,10,0,0,0,0,0,233,1104,4.74,9,55,34,224,6.59,0,187,229.8,203.8,52,11,25
26,Joe Horn\HornJo00,NOR,WR,29,16,16,0,1,0,0,0,1,4,4,0,156,83,1265,15.24,9,181,266.4,221.4,52,7,26
27,Garrison Hearst\HearGa00,SFO,RB,30,16,16,0,0,0,0,0,252,1206,4.79,4,55,41,347,8.46,1,185,231.8,204.8,50,12,27
28,Torry Holt\HoltTo00,STL,WR,25,16,14,0,0,0,0,0,2,0,0,0,133,81,1363,16.83,7,178,261.3,216.8,49,8,28
29,Aaron Brooks\BrooAa00,NOR,QB,25,16,16,312,558,3832,26,22,80,358,4.48,1,1,0,0,,0,257,278.6,266.1,47,8,29
