Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,SDG,Eli Manning\MannEl00,QB,23,2016,0,4,12,104,,199,4017,6735,47678,319,212,284,514,5,,,,2,,,Mississippi,College Stats
1,2,OAK,Robert Gallery\GallRo20,T,24,2011,0,0,7,38,34,104,,,,,,,,,,,,4,,,Iowa,College Stats
1,3,ARI,Larry Fitzgerald\FitzLa00,WR,21,2016,1,9,13,81,81,200,0,1,0,0,0,20,68,0,1116,14315,103,32,,,Pittsburgh,College Stats
1,4,NYG,Philip Rivers\RivePh00,QB,22,2016,0,5,11,121,,178,3766,5833,45242,310,153,315,574,3,0,-9,0,10,,,North Carolina St.,College Stats
1,5,WAS,Sean Taylor\TaylSe20,DB,21,2007,0,2,4,31,31,55,,,,,,,,,,,,238,12,2.0,Miami (FL),College Stats
1,6,CLE,Kellen Winslow\WinsKe01,TE,21,2013,0,1,6,38,19,105,0,0,0,0,0,1,7,0,469,5236,25,11,,,Miami (FL),College Stats
1,7,DET,Roy Williams\WillRo04,WR,22,2011,0,1,7,42,30,115,0,1,0,0,0,6,17,0,393,5715,44,10,,,Texas,College Stats
1,8,ATL,DeAngelo Hall\HallDe99,DB,20,2016,0,3,10,61,27,166,,,,,,,,,1,0,0,625,43,2.0,Virginia Tech,College Stats
1,9,JAX,Reggie Williams\WillRe00,WR,21,2008,0,0,3,23,23,79,,,,,,11,44,0,189,2322,18,4,,,Washington,College Stats
1,10,HOU,Dunta Robinson\RobiDu20,DB,22,2013,0,0,8,39,21,139,,,,,,,,,,,,500,17,5.5,South Carolina,College Stats
1,11,PIT,Ben Roethlisberger\RoetBe00,QB,22,2016,0,4,13,108,108,184,3780,5899,46535,298,158,408,1206,16,1,-11,0,8,,,Miami (OH),College Stats
1,12,NYJ,Jonathan Vilma\VilmJo99,LB,22,2013,0,3,8,57,24,125,,,,,,,,,,,,612,12,10.5,Miami (FL),College Stats
1,13,BUF,Lee Evans\EvanLe00,WR,23,2011,0,0,7,49,48,118,0,1,0,0,0,10,145,0,381,6008,43,27,,,Wisconsin,College Stats
1,14,CHI,Tommie Harris\HarrTo99,DT,21,2011,0,3,6,54,53,117,,,,,,,,,,,,182,1,31.5,Oklahoma,College Stats
1,15,TAM,Michael Clayton\ClayMi00,WR,21,2011,0,0,5,22,22,95,0,1,0,0,0,18,100,0,223,2955,10,12,,,LSU,College Stats
1,16,PHI,Shawn Andrews\AndrSh55,G,21,2010,1,2,3,38,34,63,,,,,,,,,,,,1,,,Arkansas,College Stats
