Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,ATL,Michael Vick\VickMi00,QB,21,2015,0,4,7,93,58,143,1807,3217,22464,133,88,873,6109,36,2,1,0,9,,,Virginia Tech,College Stats
1,2,ARI,Leonard Davis\DaviLe21,T,23,2012,0,3,10,67,27,171,,,,,,,,,,,,1,,,Texas,College Stats
1,3,CLE,Gerard Warren\WarrGe20,DT,23,2011,0,0,8,52,27,163,,,,,,,,,,,,250,,36.5,Florida,
1,4,CIN,Justin Smith\SmitJu20,DE,22,2014,1,5,14,98,27,221,,,,,,,,,,,,613,3,87.0,Missouri,
1,5,SDG,LaDainian Tomlinson\TomlLa00,RB,22,2011,3,5,10,128,121,170,8,12,143,7,0,3174,13684,145,624,4772,17,8,,,TCU,College Stats
1,6,NWE,Richard Seymour\SeymRi00,DE,21,2012,3,7,9,90,71,164,,,,,,,,,,,,324,2,57.5,Georgia,
1,7,SFO,Andre Carter\CartAn20,DE,22,2013,0,1,9,60,22,184,,,,,,,,,,,,387,,80.5,California,College Stats
1,8,CHI,David Terrell\TerrDa00,WR,22,2005,0,0,1,11,11,54,,,,,,4,14,0,128,1602,9,4,,,Michigan,College Stats
1,9,SEA,Koren Robinson\RobiKo00,WR,21,2008,0,1,5,35,30,96,,,,,,23,115,1,294,4244,16,18,,,North Carolina St.,College Stats
1,10,GNB,Jamal Reynolds\ReynJa20,DE,22,2003,0,0,0,3,3,18,,,,,,,,,,,,14,,3.0,Florida St.,College Stats
1,11,CAR,Dan Morgan\MorgDa99,LB,22,2007,0,1,5,30,30,59,,,,,,,,,,,,281,5,7.0,Miami (FL),College Stats
1,12,STL,Damione Lewis\LewiDa20,DT,23,2010,0,0,3,32,12,141,,,,,,,,,,,,190,,23.5,Miami (FL),
1,13,JAX,Marcus Stroud\StroMa01,DT,23,2010,0,3,9,64,48,146,,,,,,,,,,,,309,,29.5,Georgia,
1,14,TAM,Kenyatta Walker\WalkKe21,T,22,2006,0,0,5,29,29,75,,,,,,,,,,,,,,,Florida,
1,15,WAS,Rod Gardner\GardRo00,WR,23,2006,0,0,4,25,23,91,2,7,46,2,0,5,24,0,242,3165,23,11,,,Clemson,College Stats
1,16,NYJ,Santana Moss\MossSa00,WR,22,2014,0,1,8,73,21,197,,,,,,51,287,0,732,10283,66,24,,,Miami (FL),College Stats
1,17,SEA,Steve Hutchinson\HutcSt00,G,23,2012,5,7,11,96,43,169,,,,,,,,,,,,3,,,Michigan,College Stats
1,18,DET,Jeff Backus\BackJe20,T,24,2012,0,0,12,63,63,191,,,,,,,,,,,,6,,,Michigan,
1,19,PIT,Casey Hampton\HampCa00,NT,24,2012,0,5,11,73,73,173,,,,,,,,,,,,208,,9.0,Texas,College Stats
1,20,STL,Adam Archuleta\ArchAd20,DB,23,2007,0,0,6,32,26,103,,,,,,,,,,,,452,4,18.0,Arizona St.,College Stats
1,21,BUF,Nate Clements\ClemNa99,DB,21,2012,0,1,10,64,39,180,,,,,,,,,,,,656,36,4.5,Ohio St.,College Stats
1,22,NYG,Will Allen\AlleWi20,DB,23,2012,0,0,8,45,26,140,,,,,,,,,,,,455,15,5.0,Syracuse,College Stats
1,23,NOR,Deuce McAllister\McAlDe00,RB,22,2008,0,2,4,55,55,97,1,4,12,1,0,1429,6096,49,234,1720,5,13,,,Mississippi,College Stats
1,24,DEN,Willie Middlebrooks\MiddWi20,DB,22,2005,0,0,0,4,4,56,,,,,,,,,,,,62,,1.0,Minnesota,College Stats
1,25,PHI,Freddie Mitchell\MitcFr00,WR,22,2004,0,0,0,13,13,63,1,3,25,1,0,2,-4,0,90,1263,5,9,,,UCLA,College Stats
1,26,MIA,Jamar Fletcher\FletJa20,DB,22,2008,0,0,0,9,3,105,,,,,,,,,,,,171,7,1.0,Wisconsin,College Stats
1,27,MIN,Michael Bennett\BennMi00,RB,23,2010,0,1,2,34,29,109,,,,,,842,3703,13,159,1294,6,15,,,Wisconsin,College Stats
1,28,OAK,Derrick Gibson\GibsDe21,DB,22,2006,0,0,2,12,12,69,,,,,,,,,,,,159,3,2.0,Florida St.,College Stats
1,29,STL,Ryan Pickett\PickRy20,DT,21,2014,0,0,13,59,20,207,,,,,,,,,,,,382,,9.5,Ohio St.,
1,30,IND,Reggie Wayne\WaynRe00,WR,22,2014,1,6,12,117,117,211,0,1,0,0,1,4,0,0,1070,14345,82,36,,,Miami (FL),College Stats
1,31,BAL,Todd Heap\HeapTo00,TE,21,2012,0,2,7,43,41,145,0,1,0,0,0,8,61,0,499,5869,42,9,,,Arizona St.,College Stats
2,32,SDG,Drew Brees\BreeDr00,QB,22,2016,1,9,15,147,32,231,5784,8674,65462,462,219,403,723,16,7,73,1,13,,,Purdue,College Stats
2,33,CLE,Quincy Morgan\MorgQu00,WR,24,2006,0,0,3,20,17,86,,,,,,10,53,0,164,2466,17,7,,,Kansas St.,College Stats
2,34,ARI,Kyle Vanden Bosch\VandKy99,DE,22,2012,0,3,9,59,7,152,,,,,,,,,,,,332,,58.0,Nebraska,
2,35,ATL,Alge Crumpler\CrumAl00,TE,23,2010,0,4,10,41,38,155,,,,,,,,,373,4743,39,18,,,North Carolina,College Stats
2,36,CIN,Chad Johnson\JohnCh01,WR,23,2011,2,6,7,87,85,166,0,1,0,0,0,24,175,0,766,11059,67,12,,,Oregon St.,College Stats
2,37,IND,Idrees Bashir\BashId20,DB,22,2007,0,0,4,18,17,71,,,,,,,,,,,,179,6,,Memphis,College Stats
2,38,CHI,Anthony Thomas\ThomAn01,RB,23,2007,0,0,3,27,22,87,,,,,,1044,3891,23,113,756,1,12,,,Michigan,College Stats
2,39,PIT,Kendrell Bell\BellKe20,LB,23,2007,0,1,4,41,30,90,,,,,,,,,,,,274,1,20.5,Georgia,College Stats
2,40,SEA,Ken Lucas\LucaKe20,DB,22,2009,0,0,6,45,19,138,,,,,,,,,,,,458,25,,Mississippi,College Stats
2,41,GNB,Robert Ferguson\FergRo00,WR,21,2008,0,0,2,18,15,83,,,,,,1,-8,0,151,1993,13,39,,,Texas A&M,College Stats
2,42,STL,Tommy Polley\PollTo21,LB,23,2005,0,0,4,29,21,73,,,,,,,,,,,,306,4,6.0,Florida St.,College Stats
2,43,JAX,Maurice Williams\WillMa25,T,22,2009,0,0,6,47,47,105,,,,,,,,,,,,,,,Michigan,
2,44,CAR,Kris Jenkins\JenkKr00,DT,22,2010,2,4,6,66,52,108,,,,,,,,,,,,220,,24.0,Maryland,
2,45,WAS,Fred Smoot\SmooFr20,DB,22,2009,0,0,8,39,34,129,,,,,,,,,,,,385,21,,Mississippi St.,College Stats
2,46,BUF,Aaron Schobel\SchoAa99,DE,24,2009,0,2,8,61,61,133,,,,,,,,,,,,333,3,78.0,TCU,College Stats
2,47,SFO,Jamie Winborn\WinbJa20,LB,22,2010,0,0,2,18,11,100,,,,,,,,,,,,276,3,10.0,Vanderbilt,
2,48,NWE,Matt Light\LighMa20,T,23,2011,1,3,10,89,89,155,,,,,,,,,,,,1,,,Purdue,College Stats
2,49,NYJ,LaMont Jordan\JordLa00,RB,22,2009,0,0,2,31,11,114,0,2,0,0,1,897,3734,28,158,1301,3,6,,,Maryland,College Stats
2,50,DET,Dominic Raiola\RaioDo20,C,22,2014,0,0,13,67,67,219,,,,,,,,,,,,5,,,Nebraska,College Stats
2,51,DEN,Paul Toviessi,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Marshall,College Stats
2,52,MIA,Chris Chambers\ChamCh00,WR,23,2010,0,1,7,57,41,153,,,,,,44,373,0,540,7648,58,30,,,Wisconsin,College Stats
2,53,DAL,Quincy Carter\CartQu00,QB,23,2004,0,0,2,17,16,38,542,960,6337,32,37,152,518,3,,,,1,,,Georgia,College Stats
2,54,ARI,Michael Stone\StonMi20,DB,23,2006,0,0,0,4,2,52,,,,,,,,,,,,60,,,Memphis,College Stats
2,55,PHI,Quinton Caver\CaveQu20,LB,23,2005,0,0,0,5,1,53,,,,,,,,,,,,52,,,Arkansas,College Stats
2,56,DAL,Tony Dixon\DixoTo20,DB,22,2004,0,0,0,9,9,56,,,,,,,,,,,,90,1,6.0,Alabama,College Stats
2,57,MIN,Willie Howard\HowaWi20,DE,23,2001,0,0,0,1,1,8,,,,,,,,,,,,10,,,Stanford,College Stats
2,58,BUF,Travis Henry\HenrTr00,RB,22,2007,0,1,4,41,26,90,0,1,0,0,1,1488,6086,38,141,951,2,5,,,Tennessee,College Stats
2,59,OAK,Marques Tuiasosopo\TuiaMa00,QB,22,2008,0,0,0,1,1,13,49,90,554,2,7,17,79,0,,,,1,,,Washington,College Stats
