Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,CLE,Courtney Brown\BrowCo22,DE,22,2005,0,0,4,28,21,61,,,,,,,,,,,,155,,19.0,Penn St.,College Stats
1,2,WAS,LaVar Arrington\ArriLa00,LB,22,2006,0,3,4,46,45,85,,,,,,,,,,,,331,3,23.5,Penn St.,College Stats
1,3,WAS,Chris Samuels\SamuCh00,T,23,2009,0,6,9,62,62,141,,,,,,,,,,,,1,,,Alabama,College Stats
1,4,CIN,Peter Warrick\WarrPe00,WR,23,2005,0,0,4,27,25,79,,,,,,53,360,2,275,2991,18,12,,,Florida St.,College Stats
1,5,BAL,Jamal Lewis\LewiJa00,RB,21,2009,1,1,9,71,53,131,,,,,,2542,10607,58,221,1879,4,8,,,Tennessee,College Stats
1,6,PHI,Corey Simon\SimoCo00,DT,23,2007,0,1,6,45,41,95,,,,,,,,,0,0,0,190,,32.0,Florida St.,College Stats
1,7,ARI,Thomas Jones\JoneTh00,RB,22,2011,0,1,9,62,7,180,1,1,-4,0,0,2678,10591,68,308,2023,3,12,,,Virginia,College Stats
1,8,PIT,Plaxico Burress\BurrPl00,WR,23,2012,0,0,9,69,32,148,,,,,,1,-7,0,553,8499,64,13,,,Michigan St.,College Stats
1,9,CHI,Brian Urlacher\UrlaBr00,LB,22,2012,4,8,12,118,118,182,0,1,0,0,0,,,,1,27,1,1040,22,41.5,New Mexico,College Stats
1,10,BAL,Travis Taylor\TaylTr01,WR,21,2007,0,0,6,32,24,101,,,,,,32,232,0,312,4017,22,12,,,Florida,College Stats
1,11,NYG,Ron Dayne\DaynRo00,RB,22,2007,0,0,1,22,10,96,,,,,,983,3722,28,57,340,0,7,,,Wisconsin,College Stats
1,12,NYJ,Shaun Ellis\ElliSh00,DE,23,2011,0,2,11,75,73,184,,,,,,,,,,,,388,1,73.5,Tennessee,
1,13,NYJ,John Abraham\AbraJo00,DE,22,2014,2,5,9,90,38,192,,,,,,,,,,,,446,1,133.5,South Carolina,
1,14,GNB,Bubba Franks\FranBu00,TE,22,2008,0,3,6,19,18,122,1,1,31,1,0,,,,262,2347,32,16,,,Miami (FL),College Stats
1,15,DEN,Deltha O'Neal\ONeaDe00,DB,23,2008,1,2,6,47,22,132,,,,,,1,0,0,2,4,0,342,34,1.0,California,College Stats
1,16,SFO,Julian Peterson\PeteJu00,LB,22,2010,1,5,9,75,42,158,,,,,,,,,,,,595,8,51.5,Michigan St.,
1,17,OAK,Sebastian Janikowski\janikseb01,K,22,2016,0,1,0,38,38,266,,,,,,,,,,,,19,,,Florida St.,College Stats
1,18,NYJ,Chad Pennington\PennCh01,QB,24,2010,0,0,6,55,41,89,1632,2471,17823,102,64,180,465,7,0,7,0,3,,,Marshall,College Stats
1,19,SEA,Shaun Alexander\AlexSh00,RB,23,2008,1,3,7,70,70,123,,,,,,2187,9453,100,215,1520,12,3,,,Alabama,College Stats
1,20,DET,Stockar McDougle\McDoSt20,T,23,2006,0,0,3,22,20,81,,,,,,,,,,,,,,,Oklahoma,College Stats
1,21,KAN,Sylvester Morris\MorrSy00,WR,22,2000,0,0,1,6,6,15,1,1,31,0,0,,,,48,678,3,,,,Jackson St.,
1,22,SEA,Chris McIntosh\McInCh20,T,23,2001,0,0,0,8,8,24,,,,,,,,,,,,,,,Wisconsin,College Stats
1,23,CAR,Rashard Anderson\AndeRa21,DB,23,2001,0,0,1,6,6,27,,,,,,,,,,,,59,1,,Jackson St.,
1,24,SFO,Ahmed Plummer\PlumAh20,DB,24,2005,0,0,3,23,23,70,,,,,,,,,,,,268,12,,Ohio St.,
1,25,MIN,Chris Hovan\HovaCh20,DT,22,2009,0,0,10,56,23,156,,,,,,,,,,,,308,,22.0,Boston Col.,
1,26,BUF,Erik Flowers\FlowEr20,DE,22,2004,0,0,0,6,4,58,,,,,,,,,,,,38,1,5.0,Arizona St.,
1,27,NYJ,Anthony Becht\BechAn00,TE,23,2011,0,0,8,12,10,167,,,,,,,,,188,1537,21,17,,,West Virginia,College Stats
1,28,IND,Rob Morris\MorrRo20,LB,25,2007,0,0,4,24,24,99,,,,,,,,,,,,356,1,7.0,BYU,College Stats
1,29,JAX,R. Jay Soward\SowaR.00,WR,22,2000,0,0,0,2,2,13,,,,,,3,28,0,14,154,1,,,,USC,College Stats
1,30,TEN,Keith Bulluck\BullKe00,LB,23,2010,1,1,9,73,70,170,,,,,,,,,,,,791,21,18.0,Syracuse,
1,31,STL,Trung Canidate\CaniTr00,RB,23,2003,0,0,1,11,6,46,,,,,,240,1095,7,32,260,1,11,,,Arizona,College Stats
2,32,CLE,Dennis Northcutt\NortDe00,WR,22,2009,0,0,2,41,27,144,0,1,0,0,0,52,366,1,399,4941,18,18,,,Arizona,College Stats
2,33,NOR,Darren Howard\HowaDa21,DE,23,2009,0,0,7,42,31,145,,,,,,,,,,,,262,3,67.0,Kansas St.,
2,34,CIN,Mark Roman\RomaMa20,DB,23,2009,0,0,6,38,9,146,,,,,,,,,,,,438,6,8.0,LSU,
2,35,SFO,John Engelberger\EngeJo20,DE,23,2008,0,0,5,32,23,139,,,,,,,,,,,,201,,20.5,Virginia Tech,College Stats
2,36,PHI,Todd Pinkston\PinkTo00,WR,23,2004,0,0,4,27,27,78,,,,,,3,-21,0,184,2816,14,6,,,Southern Miss,College Stats
2,37,ATL,Travis Claridge\ClarTr20,G,22,2003,0,0,3,23,23,52,,,,,,,,,,,,,,,USC,
2,38,PIT,Marvel Smith\SmitMa55,T,22,2008,0,1,6,48,48,111,,,,,,,,,,,,,,,Arizona St.,
2,39,CHI,Mike Brown\BrowMi99,DB,22,2009,1,1,7,57,51,116,,,,,,,,,,,,500,20,7.0,Nebraska,
2,40,DEN,Ian Gold\GoldIa00,LB,22,2007,0,1,5,41,35,115,,,,,,,,,,,,422,4,17.0,Michigan,College Stats
2,41,ARI,Raynoch Thompson\ThomRa23,LB,22,2004,0,0,3,19,19,64,,,,,,,,,,,,242,,7.5,Tennessee,
2,42,NYG,Cornelius Griffin\GrifCo20,DT,23,2009,0,0,9,59,19,146,,,,,,,,,,,,333,2,29.0,Alabama,
2,43,SDG,Rogers Beckett\BeckRo20,DB,23,2004,0,0,3,17,12,71,,,,,,,,,,,,216,4,4.0,Marshall,
2,44,GNB,Chad Clifton\ClifCh20,T,24,2011,0,2,10,72,72,165,,,,,,,,,,,,2,,,Tennessee,
2,45,DEN,Kenoy Kennedy\KennKe21,DB,22,2007,0,0,7,33,21,115,,,,,,,,,,,,402,10,6.0,Arkansas,College Stats
2,46,NWE,Adrian Klemm\KlemAd20,G,23,2005,0,0,1,9,5,42,,,,,,,,,,,,,,,Hawaii,
2,47,OAK,Jerry Porter\PortJe00,WR,22,2008,0,0,4,34,33,115,,,,,,9,17,0,295,4120,31,18,,,West Virginia,College Stats
2,48,SFO,Jason Webster\WebsJa20,DB,23,2008,0,0,3,24,15,90,,,,,,,,,,,,343,11,0.5,Texas A&M,
2,49,DAL,Dwayne Goodrich\GoodDw20,DB,22,2002,0,0,0,1,1,16,,,,,,,,,,,,8,,,Tennessee,
2,50,DET,Barrett Green\GreeBa20,LB,22,2005,0,0,4,21,17,65,,,,,,,,,,,,191,,5.0,West Virginia,College Stats
2,51,TAM,Cosey Coleman\ColeCo21,G,21,2006,0,0,6,34,25,100,,,,,,,,,1,5,0,,,,Tennessee,College Stats
2,52,SEA,Ike Charlton\CharIk20,DB,22,2003,0,0,0,5,3,53,,,,,,,,,,,,72,2,2.0,Virginia Tech,College Stats
2,53,MIA,Todd Wade\WadeTo20,T,23,2007,0,0,7,44,32,99,,,,,,,,,,,,,,,Mississippi,
2,54,KAN,William Bartee\BartWi20,DB,23,2005,0,0,2,13,13,87,,,,,,,,,,,,206,,3.5,Oklahoma,
2,55,MIN,Fred Robbins\RobbFr20,DT,23,2011,0,0,10,52,9,180,,,,,,,,,,,,264,3,35.5,Wake Forest,
2,56,MIN,Michael Boireau,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),
2,57,CAR,Deon Grant\GranDe21,DB,21,2011,0,0,9,59,22,176,,,,,,,,,,,,623,30,6.5,Tennessee,College Stats
