Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,OAK,JaMarcus Russell\RussJa00,QB,22,2009,0,0,2,6,6,31,354,680,4083,18,23,40,175,1,0,0,0,2,,,LSU,College Stats
1,2,DET,Calvin Johnson\JohnCa00,WR,22,2015,3,6,9,78,78,135,,,,,,19,167,1,731,11619,83,17,,,Georgia Tech,College Stats
1,3,CLE,Joe Thomas\ThomJo28,T,22,2016,6,9,10,78,78,158,,,,,,,,,,,,8,,,Wisconsin,College Stats
1,4,TAM,Gaines Adams\AdamGa99,DE,24,2009,0,0,2,17,16,47,,,,,,,,,,,,67,2,13.5,Clemson,College Stats
1,5,ARI,Levi Brown\BrowLe20,T,23,2013,0,0,5,33,33,82,,,,,,,,,1,4,0,6,,,Penn St.,College Stats
1,6,WAS,LaRon Landry\LandLa99,DB,22,2014,0,1,7,37,25,103,,,,,,,,,,,,474,6,8.0,LSU,College Stats
1,7,MIN,Adrian Peterson\PeteAd01,RB,22,2016,4,7,8,88,88,123,,,,,,2418,11747,97,241,1945,5,16,,,Oklahoma,College Stats
1,8,ATL,Jamaal Anderson\AndeJa98,DE,21,2012,0,0,3,20,19,77,,,,,,,,,,,,96,,7.5,Arkansas,College Stats
1,9,MIA,Ted Ginn\GinnTe00,WR,22,2016,0,0,4,37,16,149,1,1,10,0,0,50,379,2,302,4187,25,16,,,Ohio St.,College Stats
1,10,HOU,Amobi Okoye\OkoyAm99,DT,20,2012,0,0,4,24,21,87,,,,,,,,,,,,118,,16.0,Louisville,College Stats
1,11,SFO,Patrick Willis\WillPa98,LB,22,2014,5,7,7,92,92,112,,,,,,,,,,,,732,8,20.5,Mississippi,College Stats
1,12,BUF,Marshawn Lynch\LyncMa00,RB,21,2015,1,5,7,68,16,127,1,3,8,1,0,2144,9112,74,252,1979,9,11,,,California,College Stats
1,13,STL,Adam Carriker\CarrAd99,DE,23,2012,0,0,3,23,9,65,,,,,,,,,,,,85,,9.0,Nebraska,College Stats
1,14,NYJ,Darrelle Revis\ReviDa99,DB,22,2016,4,7,9,86,69,138,,,,,,,,,0,-1,0,398,28,2.0,Pittsburgh,College Stats
1,15,PIT,Lawrence Timmons\TimmLa99,LB,21,2016,0,1,8,62,62,156,,,,,,,,,,,,667,12,34.5,Florida St.,College Stats
1,16,GNB,Justin Harrell\HarrJu99,DT,23,2010,0,0,0,2,2,14,,,,,,,,,,,,18,,,Tennessee,College Stats
1,17,DEN,Jarvis Moss\MossJa99,DE,23,2011,0,0,0,3,2,53,,,,,,,,,,,,34,,6.0,Florida,College Stats
1,18,CIN,Leon Hall\HallLe98,DB,22,2016,0,0,7,49,49,131,,,,,,,,,,,,384,27,1.0,Michigan,College Stats
1,19,TEN,Michael Griffin\GrifMi99,DB,22,2016,0,2,9,51,51,152,,,,,,,,,,,,584,25,7.0,Texas,College Stats
1,20,NYG,Aaron Ross\RossAa99,DB,25,2013,0,0,4,21,19,83,,,,,,,,,,,,201,11,2.5,Texas,College Stats
1,21,JAX,Reggie Nelson\NelsRe99,DB,24,2016,0,1,9,54,13,152,,,,,,,,,,,,528,34,6.5,Florida,College Stats
1,22,CLE,Brady Quinn\QuinBr00,QB,22,2012,0,0,2,2,3,24,296,550,3043,12,17,44,185,1,1,18,0,2,,,Notre Dame,College Stats
1,23,KAN,Dwayne Bowe\BoweDw00,WR,23,2015,0,1,8,49,49,125,,,,,,2,16,0,537,7208,44,9,,,LSU,College Stats
1,24,NWE,Brandon Meriweather\MeriBr99,DB,23,2015,0,2,6,33,22,112,,,,,,,,,,,,335,17,6.0,Miami (FL),College Stats
1,25,CAR,Jon Beason\BeasJo99,LB,22,2015,1,3,5,55,47,93,,,,,,,,,,,,526,10,4.0,Miami (FL),College Stats
1,26,DAL,Anthony Spencer\SpenAn99,DE,23,2014,0,1,4,33,33,104,,,,,,,,,,,,273,1,33.0,Purdue,College Stats
1,27,NOR,Robert Meachem\MeacRo00,WR,23,2014,0,0,1,26,25,103,,,,,,18,127,1,178,2914,27,13,,,Tennessee,College Stats
1,28,SFO,Joe Staley\StalJo20,T,23,2016,0,5,10,65,65,142,,,,,,,,,2,31,0,7,,,Central Michigan,College Stats
1,29,BAL,Ben Grubbs\GrubBe20,G,23,2015,0,2,8,54,25,129,,,,,,,,,,,,4,,,Auburn,College Stats
1,30,SDG,Craig Davis\DaviCr00,WR,21,2010,0,0,0,7,7,25,,,,,,4,13,0,51,558,2,2,,,LSU,College Stats
1,31,CHI,Greg Olsen\OlseGr00,TE,22,2016,0,2,8,48,12,156,,,,,,,,,613,7284,52,12,,,Miami (FL),College Stats
1,32,IND,Anthony Gonzalez\GonzAn00,WR,23,2011,0,0,1,16,16,40,,,,,,,,,99,1307,7,,,,Ohio St.,College Stats
2,33,ARI,Alan Branch\BranAl99,DT,22,2016,0,0,5,34,5,132,,,,,,,,,,,,171,,10.0,Michigan,College Stats
2,34,BUF,Paul Posluszny\PoluPa99,LB,22,2016,0,1,8,50,17,127,,,,,,,,,,,,829,15,14.5,Penn St.,College Stats
2,35,TAM,Arron Sears\SearAr20,G,22,2008,0,0,2,15,15,31,,,,,,,,,,,,1,,,Tennessee,College Stats
2,36,PHI,Kevin Kolb\KolbKe00,QB,23,2012,0,0,1,12,5,34,449,755,5206,28,25,69,229,2,,,,2,,,Houston,College Stats
2,37,SDG,Eric Weddle\WeddEr99,DB,22,2016,2,3,9,62,62,151,0,1,0,0,0,5,24,0,,,,725,23,7.5,Utah,College Stats
2,38,OAK,Zach Miller\MillZa01,TE,21,2014,0,1,7,29,19,110,,,,,,,,,328,3804,20,18,,,Arizona St.,College Stats
2,39,ATL,Justin Blalock\BlalJu20,G,23,2014,0,0,8,57,57,125,,,,,,,,,0,0,0,5,,,Texas,College Stats
