Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,STL,Sam Bradford\BradSa00,QB,22,2016,0,0,5,33,25,76,1714,2761,18035,92,56,140,310,2,1,5,0,2,,,Oklahoma,College Stats
1,2,DET,Ndamukong Suh\SuhxNd99,DT,23,2016,3,4,7,65,59,108,,,,,,,,,,,,254,1,47.0,Nebraska,College Stats
1,3,TAM,Gerald McCoy\McCoGe99,DT,22,2016,1,4,6,45,45,92,,,,,,,,,,,,161,,42.0,Oklahoma,College Stats
1,4,WAS,Trent Williams\WillTr21,T,22,2016,0,4,7,50,50,95,,,,,,,,,,,,8,,,Oklahoma,College Stats
1,5,KAN,Eric Berry\BerrEr99,DB,21,2016,2,4,5,38,38,84,,,,,,,,,,,,363,13,5.5,Tennessee,College Stats
1,6,SEA,Russell Okung\OkunRu20,T,22,2016,0,1,7,36,36,86,,,,,,,,,,,,2,,,Oklahoma St.,College Stats
1,7,CLE,Joe Haden\HadeJo99,DB,21,2016,0,2,5,37,37,88,,,,,,,,,,,,292,19,2.0,Florida,College Stats
1,8,OAK,Rolando McClain\McClRo00,LB,21,2015,0,0,5,26,16,65,,,,,,,,,,,,292,4,9.5,Alabama,College Stats
1,9,BUF,C.J. Spiller\SpilC.00,RB,23,2016,0,1,3,34,32,89,,,,,,710,3451,12,198,1484,9,2,,,Clemson,College Stats
1,10,JAX,Tyson Alualu\AluaTy99,DT,23,2016,0,0,5,31,31,108,,,,,,1,0,0,2,19,0,175,,17.5,California,College Stats
1,11,SFO,Anthony Davis\DaviAn27,T,20,2016,0,0,4,31,31,72,,,,,,,,,,,,2,,,Rutgers,College Stats
1,12,SDG,Ryan Mathews\MathRy00,RB,22,2016,0,1,4,39,36,85,,,,,,1166,5215,37,178,1355,3,3,,,Fresno St.,College Stats
1,13,PHI,Brandon Graham\GrahBr99,DE,22,2016,0,0,2,14,14,94,,,,,,,,,,,,175,,29.0,Michigan,College Stats
1,14,SEA,Earl Thomas\ThomEa99,DB,21,2016,3,5,7,61,61,107,,,,,,,,,0,0,0,407,23,,Texas,College Stats
1,15,NYG,Jason Pierre-Paul\PierJa99,DE,21,2016,1,2,5,41,41,95,,,,,,,,,,,,261,2,50.0,South Florida,College Stats
1,16,TEN,Derrick Morgan\MorgDe99,DE,21,2016,0,0,6,26,26,89,,,,,,,,,,,,169,,36.5,Georgia Tech,College Stats
1,17,SFO,Mike Iupati\IupaMi20,G,23,2016,1,4,7,53,42,101,,,,,,,,,1,10,0,5,,,Idaho,
1,18,PIT,Maurkice Pouncey\PounMa20,C,21,2016,2,4,5,48,48,76,,,,,,,,,1,0,0,3,,,Florida,College Stats
1,19,ATL,Sean Weatherspoon\WeatSe99,LB,22,2016,0,0,2,22,21,65,,,,,,,,,,,,246,2,8.0,Missouri,College Stats
1,20,HOU,Kareem Jackson\JackKa99,DB,22,2016,0,0,7,29,29,98,,,,,,,,,,,,341,13,,Alabama,College Stats
1,21,CIN,Jermaine Gresham\GresJe00,TE,22,2016,0,2,7,23,22,103,,,,,,,,,333,3296,27,4,,,Oklahoma,College Stats
1,22,DEN,Demaryius Thomas\ThomDe03,WR,22,2016,0,3,5,53,53,99,0,1,0,0,0,3,6,0,539,7637,52,6,,,Georgia Tech,College Stats
1,23,GNB,Bryan Bulaga\BulaBr20,T,21,2016,0,0,6,34,34,78,,,,,,,,,,,,2,,,Iowa,
1,24,DAL,Dez Bryant\BryaDe01,WR,21,2016,1,2,6,50,50,95,,,,,,5,1,0,458,6551,65,5,,,Oklahoma St.,College Stats
1,25,DEN,Tim Tebow\TeboTi00,QB,23,2012,0,0,1,12,11,35,173,361,2422,17,9,197,989,12,0,0,0,,,,Florida,College Stats
1,26,ARI,Dan Williams\WillDa99,DT,23,2016,0,0,5,29,22,100,,,,,,,,,,,,156,1,3.5,Tennessee,College Stats
1,27,NWE,Devin McCourty\McCoDe99,DB,23,2016,0,1,7,40,40,105,,,,,,,,,,,,409,19,2.0,Rutgers,College Stats
1,28,MIA,Jared Odrick\OdriJa99,DE,22,2016,0,0,3,27,20,87,,,,,,,,,,,,136,1,23.0,Penn St.,College Stats
1,29,NYJ,Kyle Wilson\WilsKy99,DB,23,2015,0,0,1,15,13,95,,,,,,,,,,,,164,4,1.0,Boise St.,College Stats
1,30,DET,Jahvid Best\BestJa00,RB,21,2012,0,0,1,13,13,22,0,1,0,0,0,255,945,6,85,774,3,1,,,California,College Stats
1,31,IND,Jerry Hughes\HughJe99,DE,22,2016,0,0,3,25,4,102,,,,,,,,,,,,165,,36.0,TCU,College Stats
1,32,NOR,Patrick Robinson\RobiPa99,DB,23,2016,0,0,1,17,13,81,,,,,,,,,,,,212,10,1.0,Florida St.,College Stats
2,33,STL,Rodger Saffold\SaffRo20,T,22,2016,0,0,5,25,25,81,,,,,,,,,,,,4,,,Indiana,College Stats
2,34,MIN,Chris Cook\CookCh99,DB,23,2014,0,0,2,8,8,40,,,,,,,,,,,,104,,1.0,Virginia,College Stats
2,35,TAM,Brian Price\PricBr99,DT,21,2012,0,0,1,4,4,20,,,,,,,,,,,,22,,3.0,UCLA,College Stats
2,36,KAN,Dexter McCluster\McClDe00,WR,22,2016,0,1,0,21,17,89,,,,,,250,1042,2,236,1993,7,5,,,Mississippi,College Stats
2,37,PHI,Nate Allen\AlleNa99,DB,22,2016,0,0,5,26,26,91,,,,,,,,,,,,277,12,4.0,South Florida,College Stats
2,38,CLE,T.J. Ward\WardT.99,DB,23,2016,0,2,7,34,24,95,,,,,,,,,,,,413,8,8.5,Oregon,College Stats
2,39,TAM,Arrelious Benn\BennAr00,WR,22,2016,0,0,2,7,7,51,,,,,,15,44,0,64,978,6,5,,,Illinois,College Stats
2,40,MIA,Koa Misi\MisiKo99,LB,23,2016,0,0,6,31,31,84,,,,,,,,,,,,253,,12.0,Utah,College Stats
2,41,BUF,Torell Troup\TrouTo00,DT,21,2012,0,0,0,3,3,21,,,,,,,,,,,,17,,,Central Florida,
2,42,NWE,Rob Gronkowski\GronRo00,TE,21,2016,3,4,5,52,52,88,,,,,,1,2,1,405,6095,68,2,,,Arizona,College Stats
2,43,BAL,Sergio Kindle\KindSe99,LB,23,2012,0,0,0,0,0,3,,,,,,,,,,,,1,,,Texas,
2,44,OAK,Lamarr Houston\HousLa99,DE,23,2016,0,0,4,31,26,90,,,,,,,,,,,,217,1,25.5,Texas,College Stats
2,45,DEN,Zane Beadles\BeadZa20,G,23,2016,0,1,7,42,31,110,,,,,,,,,0,0,0,2,,,Utah,
2,46,NYG,Linval Joseph\JoseLi99,DT,21,2016,0,0,6,33,20,95,,,,,,,,,,,,217,,15.5,East Carolina,College Stats
2,47,ARI,Daryl Washington\WashDa99,LB,23,2013,0,1,4,36,36,59,,,,,,,,,,,,325,6,18.0,TCU,College Stats
2,48,CAR,Jimmy Clausen\ClauJi00,QB,23,2015,0,0,1,3,0,22,255,472,2520,7,14,37,102,0,,,,1,,,Notre Dame,College Stats
2,49,SFO,Taylor Mays\MaysTa99,DB,22,2015,0,0,0,9,3,80,,,,,,,,,,,,74,,1.0,USC,College Stats
2,50,KAN,Javier Arenas\ArenJa99,DB,22,2014,0,0,1,8,7,69,,,,,,4,17,1,,,,130,2,5.0,Alabama,College Stats
2,51,MIN,Toby Gerhart\GerhTo00,RB,23,2015,0,0,0,16,13,82,,,,,,397,1675,7,100,809,3,8,,,Stanford,College Stats
2,52,PIT,Jason Worilds\WoriJa99,DE,22,2014,0,0,1,21,21,73,,,,,,,,,,,,129,1,25.5,Virginia Tech,College Stats
2,53,NWE,Jermaine Cunningham\CunnJe99,LB,22,2013,0,0,1,8,8,38,,,,,,,,,,,,43,,3.5,Florida,College Stats
2,54,CIN,Carlos Dunlap\DunlCa99,DE,21,2016,0,1,4,37,37,100,,,,,,,,,,,,212,1,56.0,Florida,College Stats
2,55,DAL,Sean Lee\LeexSe99,LB,24,2016,0,1,4,26,26,74,,,,,,,,,,,,359,12,2.5,Penn St.,College Stats
2,56,GNB,Mike Neal\NealMi99,DE,23,2015,0,0,2,17,17,68,,,,,,,,,,,,100,1,19.0,Purdue,College Stats
2,57,BAL,Terrence Cody\CodyTe99,DT,22,2014,0,0,1,13,13,57,,,,,,,,,,,,46,,,Alabama,College Stats
2,58,HOU,Ben Tate\TateBe00,RB,22,2014,0,0,0,14,12,51,,,,,,545,2382,14,69,356,0,3,,,Auburn,College Stats
2,59,CLE,Montario Hardesty\HardMo00,RB,23,2012,0,0,0,4,4,23,,,,,,153,537,1,16,138,0,,,,Tennessee,College Stats
2,60,SEA,Golden Tate\TateGo00,WR,22,2016,0,1,5,37,20,104,1,1,23,1,0,33,137,0,433,5281,28,4,,,Notre Dame,College Stats
2,61,NYJ,Vlad Ducasse\DucaVl20,T,22,2016,0,0,1,11,2,86,,,,,,,,,,,,,,,Massachusetts,
2,62,NWE,Brandon Spikes\SpikBr99,LB,23,2016,0,0,4,22,18,78,,,,,,,,,,,,210,2,2.0,Florida,College Stats
2,63,IND,Pat Angerer\AngePa99,LB,23,2013,0,0,2,17,17,54,,,,,,,,,,,,184,2,2.5,Iowa,College Stats
2,64,NOR,Charles Brown\BrowCh28,T,23,2015,0,0,1,15,14,54,,,,,,,,,,,,1,,,USC,College Stats
3,65,STL,Jerome Murphy\MurpJe99,DB,23,2013,0,0,0,3,2,33,,,,,,,,,,,,22,1,,South Florida,College Stats
3,66,DET,Amari Spievey\SpieAm99,DB,22,2012,0,0,2,12,12,35,,,,,,,,,,,,113,5,1.0,Iowa,College Stats
3,67,TAM,Myron Lewis\LewiMy99,DB,22,2012,0,0,0,1,1,28,,,,,,,,,,,,18,,,Vanderbilt,College Stats
3,68,KAN,Jon Asamoah\AsamJo20,G,22,2014,0,0,4,21,13,75,,,,,,,,,,,,4,,,Illinois,
3,69,OAK,Jared Veldheer\VeldJa20,T,23,2016,0,0,5,37,20,93,,,,,,,,,,,,8,,,Hillsdale,
3,70,BAL,Ed Dickson\DickEd00,TE,23,2016,0,0,4,11,10,106,,,,,,,,,148,1548,11,6,,,Oregon,College Stats
3,71,GNB,Morgan Burnett\BurnMo99,DB,21,2016,0,0,6,24,24,88,,,,,,,,,,,,456,9,7.5,Georgia Tech,College Stats
3,72,BUF,Alex Carrington\CarrAl99,DE,23,2015,0,0,0,7,6,59,,,,,,,,,,,,39,,4.0,Arkansas St.,College Stats
3,73,MIA,John Jerry\JerrJo20,T,24,2016,0,0,5,30,18,103,,,,,,,,,,,,4,,,Mississippi,
3,74,JAX,D'Anthony Smith\SmitDA99,DT,22,2015,0,0,1,8,8,30,,,,,,,,,,,,8,,,Louisiana Tech,College Stats
3,75,CHI,Major Wright\WrigMa99,DB,22,2016,0,0,3,20,17,77,,,,,,,,,,,,240,9,,Florida,College Stats
3,76,NYG,Chad Jones,DB,,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats
3,77,TEN,Damian Williams\WillDa04,WR,22,2014,0,0,1,9,9,57,,,,,,1,5,0,107,1327,5,,,,USC,College Stats
3,78,CAR,Brandon LaFell\LaFeBr00,WR,23,2016,0,0,4,33,18,101,0,1,0,0,0,11,130,0,329,4518,25,5,,,LSU,College Stats
3,79,SDG,Donald Butler\ButlDo99,LB,21,2016,0,0,5,27,27,83,,,,,,,,,,,,289,3,7.0,Washington,
3,80,DEN,J.D. Walton\WaltJ.20,C,23,2015,0,0,3,23,15,56,,,,,,,,,,,,1,,,Baylor,College Stats
3,81,HOU,Earl Mitchell\MitcEa99,DT,23,2016,0,0,2,18,11,98,,,,,,,,,,,,127,,5.5,Arizona,College Stats
3,82,PIT,Emmanuel Sanders\SandEm00,WR,23,2016,0,1,4,36,14,101,1,1,15,0,0,14,106,0,416,5575,31,5,,,SMU,College Stats
3,83,ATL,Corey Peters\PeteCo00,DT,22,2016,0,0,4,25,25,84,,,,,,,,,,,,111,1,11.0,Kentucky,College Stats
3,84,CIN,Jordan Shipley\ShipJo00,WR,24,2012,0,0,0,7,5,24,,,,,,,,,79,858,4,1,,,Texas,College Stats
3,85,CLE,Colt McCoy\McCoCo00,QB,24,2015,0,0,2,12,10,34,508,842,5586,26,23,118,420,2,2,8,0,2,,,Texas,College Stats
3,86,PHI,Daniel Te'o-Nesheim\Teo-Da99,DE,23,2013,0,0,2,12,1,39,,,,,,,,,,,,37,,5.0,Washington,College Stats
3,87,DEN,Eric Decker\DeckEr00,WR,23,2016,0,0,5,42,28,95,0,1,0,0,0,1,1,0,385,5253,52,7,,,Minnesota,College Stats
3,88,ARI,Andre Roberts\RobeAn00,WR,22,2016,0,0,2,18,14,101,,,,,,9,77,0,242,2885,14,9,,,Citadel,
3,89,CAR,Armanti Edwards\EdwaAr00,WR,22,2013,0,0,0,1,1,41,2,3,11,0,0,3,12,0,6,131,0,,,,Appalachian St.,
3,90,NWE,Taylor Price\PricTa00,WR,22,2012,0,0,0,1,1,6,,,,,,,,,5,80,0,,,,Ohio,College Stats
3,91,SFO,NaVorro Bowman\BowmNa99,LB,22,2016,4,3,4,61,61,84,,,,,,,,,,,,505,4,12.5,Penn St.,College Stats
3,92,CLE,Shawn Lauvao\LauvSh20,G,22,2016,0,0,5,24,17,83,,,,,,,,,,,,1,,,Arizona St.,
3,93,KAN,Tony Moeaki\MoeaTo00,TE,23,2015,0,0,2,10,9,48,,,,,,,,,91,1201,6,1,,,Iowa,College Stats
3,94,IND,Kevin Thomas\ThomKe99,DB,24,2011,0,0,0,2,2,9,,,,,,,,,,,,20,,,USC,
3,95,NOR,Jimmy Graham\GrahJi00,TE,23,2016,1,3,6,44,40,103,,,,,,2,3,0,493,6173,58,5,,,Miami (FL),College Stats
3,96,CIN,Brandon Ghee\GheeBr99,DB,23,2014,0,0,0,3,2,29,,,,,,,,,,,,10,1,,Wake Forest,College Stats
3,97,TEN,Rennie Curran\CurrRe99,LB,21,2010,0,0,0,1,1,9,,,,,,,,,,,,,,,Georgia,College Stats
3,98,ATL,Mike Johnson\JohnMi23,G,23,2012,0,0,0,2,2,18,,,,,,,,,1,1,1,,,,Alabama,
4,99,STL,Mardy Gilyard\GilyMa00,WR,23,2012,0,0,0,1,1,19,,,,,,,,,8,78,0,1,,,Cincinnati,College Stats
4,100,MIN,Everson Griffen\GrifEv99,DE,22,2016,0,1,3,26,26,104,,,,,,,,,,,,155,1,48.0,USC,College Stats
4,101,TAM,Mike Williams\WillMi04,WR,23,2014,0,0,3,25,25,63,1,1,28,0,0,1,3,0,223,3089,26,10,,,Syracuse,College Stats
4,102,HOU,Darryl Sharpton\SharDa01,LB,22,2014,0,0,1,10,9,47,,,,,,,,,,,,102,1,1.0,Miami (FL),College Stats
4,103,WAS,Perry Riley\RilePe00,LB,22,2016,0,0,4,27,27,88,,,,,,,,,,,,291,3,9.5,LSU,College Stats
4,104,TEN,Alterraun Verner\VernAl99,DB,21,2016,0,1,4,31,24,108,,,,,,,,,,,,335,15,0.5,UCLA,College Stats
4,105,PHI,Trevard Lindley\LindTr99,DB,24,2010,0,0,0,1,1,11,,,,,,,,,,,,18,1,,Kentucky,College Stats
4,106,OAK,Bruce Campbell\CampBr20,T,22,2012,0,0,0,1,1,19,,,,,,,,,,,,,,,Maryland,College Stats
4,107,BUF,Marcus Easley\EaslMa00,WR,22,2015,0,0,0,1,1,42,,,,,,,,,3,71,1,29,1,,Connecticut,
4,108,OAK,Jacoby Ford\FordJa01,WR,23,2013,0,0,1,12,12,38,,,,,,19,201,2,57,848,3,7,,,Clemson,College Stats
4,109,CHI,Corey Wootton\WootCo99,DE,23,2014,0,0,0,15,13,60,,,,,,,,,,,,65,,12.0,Northwestern,College Stats
4,110,SDG,Darrell Stuckey\StucDa20,DB,23,2016,0,1,0,8,8,87,,,,,,,,,,,,44,,1.0,Kansas,
4,111,SEA,Walter Thurmond\ThurWa99,DB,23,2015,0,0,1,12,5,52,,,,,,,,,,,,119,4,3.0,Oregon,College Stats
4,112,NYJ,Joe McKnight\McKnJo00,RB,22,2014,0,0,0,7,6,41,,,,,,113,505,0,23,241,2,2,,,USC,College Stats
4,113,NWE,Aaron Hernandez\HernAa00,TE,20,2012,0,0,2,22,22,38,,,,,,9,97,0,175,1956,18,,,,Florida,College Stats
4,114,BAL,Dennis Pitta\PittDe00,TE,25,2016,0,0,1,12,12,64,,,,,,,,,205,1932,13,3,,,BYU,College Stats
4,115,NYG,Phillip Dillard\DillPh99,LB,23,2012,0,0,0,0,0,7,,,,,,,,,,,,,,,Nebraska,College Stats
4,116,PIT,Thaddeus Gibson\GibsTh99,DE,22,2012,0,0,0,0,,4,,,,,,,,,,,,,,,Ohio St.,College Stats
4,117,ATL,Joe Hawley\HawlJo20,C,21,2016,0,0,3,21,15,85,,,,,,,,,0,0,0,4,,,UNLV,College Stats
4,118,HOU,Garrett Graham\GrahGa00,TE,24,2015,0,0,2,7,7,60,,,,,,,,,100,1059,10,1,,,Wisconsin,College Stats
4,119,MIA,A.J. Edds\EddsA.99,LB,23,2014,0,0,0,0,,17,,,,,,,,,,,,4,,,Iowa,
4,120,CIN,Geno Atkins\AtkiGe99,DT,22,2016,2,4,6,61,61,103,,,,,,,,,,,,158,,50.5,Georgia,College Stats
4,121,PHI,Keenan Clayton\ClayKe99,LB,23,2012,0,0,0,3,2,36,,,,,,,,,,,,18,,,Oklahoma,College Stats
4,122,PHI,Mike Kafka\KafkMi00,QB,23,2011,0,0,0,0,0,4,11,16,107,0,2,3,0,0,,,,,,,Northwestern,College Stats
4,123,NOR,Al Woods\WoodAl99,DT,23,2016,0,0,1,9,,79,,,,,,,,,,,,60,,3.5,LSU,College Stats
4,124,CAR,Eric Norwood\NorwEr99,LB,22,2011,0,0,0,2,2,28,,,,,,,,,,,,6,,1.0,South Carolina,College Stats
4,125,PHI,Clay Harbor\HarbCl00,TE,23,2016,0,0,2,7,2,96,,,,,,,,,114,1170,8,5,,,SW Missouri St.,
4,126,DAL,Akwasi Owusu-Ansah\OwusAk99,DB,22,2013,0,0,0,1,0,15,,,,,,,,,,,,12,,,Indiana (PA),
4,127,SEA,E.J. Wilson\WilsE.99,DE,22,2010,0,0,0,0,0,2,,,,,,,,,,,,1,,,North Carolina,College Stats
4,128,DET,Jason Fox\FoxxJa20,T,22,2015,0,0,1,9,2,37,,,,,,,,,,,,1,,,Miami (FL),College Stats
4,129,IND,Jacques McClendon\McClJa20,G,22,2015,0,0,0,3,0,25,,,,,,,,,,,,,,,Tennessee,
4,130,ARI,O'Brien Schofield\SchoOB99,DE,23,2016,0,0,2,17,7,84,,,,,,,,,,,,102,,15.5,Wisconsin,College Stats
4,131,CIN,Roddrick Muckelroy\MuckRo99,LB,23,2012,0,0,0,2,1,21,,,,,,,,,,,,,,,Texas,College Stats
5,132,STL,Michael Hoomanawanui\HoomMi00,TE,22,2015,0,0,3,4,1,73,,,,,,1,0,0,51,594,7,,,,Illinois,College Stats
5,133,SEA,Kam Chancellor\ChanKa99,DB,22,2016,0,4,6,39,39,98,,,,,,,,,,,,391,12,2.0,Virginia Tech,College Stats
5,134,PHI,Ricky Sapp\SappRi99,DE,23,2014,0,0,0,1,,17,,,,,,,,,,,,3,,,Clemson,College Stats
