Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Tom Brady\BradTo00,NWE,QB,30,16,16,398,578,4806,50,8,37,98,2.65,2,0,0,0,,0,398,406,400,180,1,1
2,LaDainian Tomlinson\TomlLa00,SDG,RB,28,16,16,1,1,17,1,0,315,1474,4.68,15,86,60,475,7.92,3,308,373.6,337.6,174,1,2
3,Randy Moss\MossRa00,NWE,WR,30,16,16,0,0,0,0,0,0,0,,0,160,98,1493,15.23,23,287,388.3,336.3,165,1,3
4,Brian Westbrook\WestBr00,PHI,RB,28,15,15,0,0,0,0,0,278,1333,4.79,7,118,90,771,8.57,5,282,377.4,325.4,149,2,4
5,Adrian Peterson\PeteAd01,MIN,RB,22,14,9,0,0,0,0,0,238,1341,5.63,12,28,19,268,14.11,1,239,261.9,244.4,106,3,5
6,Terrell Owens\OwenTe00,DAL,WR,34,15,15,0,0,0,0,0,1,5,5,0,141,81,1355,16.73,15,226,310,266.5,104,2,6
7,Braylon Edwards\EdwaBr00,CLE,WR,24,16,16,0,0,0,0,0,0,0,,0,154,80,1289,16.11,16,225,306.4,261.9,103,3,7
8,Clinton Portis\PortCl00,WAS,RB,26,16,16,1,1,15,1,0,325,1262,3.88,11,60,47,389,8.28,0,236,285.7,253.2,103,4,8
9,Joseph Addai\AddaJo00,IND,RB,24,15,15,0,0,0,0,0,261,1072,4.11,12,48,41,364,8.88,3,236,282.6,256.1,103,5,9
10,Reggie Wayne\WaynRe00,IND,WR,29,16,16,0,0,0,0,0,1,4,4,0,156,104,1510,14.52,10,211,316.9,260.4,89,4,10
11,Jamal Lewis\LewiJa00,CLE,RB,28,15,15,0,0,0,0,0,298,1304,4.38,9,39,30,248,8.27,2,221,255.2,232.2,88,6,11
12,Tony Romo\RomoTo00,DAL,QB,27,16,16,335,520,4211,36,19,31,129,4.16,2,0,0,0,,0,299,319.3,308.3,81,2,12
13,Larry Fitzgerald\FitzLa00,ARI,WR,24,15,15,0,0,0,0,0,0,0,,0,167,100,1409,14.09,10,201,302.4,247.9,79,5,13
14,Jason Witten\WittJa00,DAL,TE,25,16,16,0,0,0,0,0,0,0,,0,141,96,1145,11.93,7,157,255,203.5,78,1,14
