Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,MIA,Jake Long\LongJa20,T,23,2016,1,4,6,53,46,104,,,,,,,,,,,,4,,,Michigan,College Stats
1,2,STL,Chris Long\LongCh99,DE,23,2016,0,0,5,42,42,128,,,,,,,,,,,,215,,57.5,Virginia,College Stats
1,3,ATL,Matt Ryan\RyanMa00,QB,23,2016,0,3,9,96,96,140,3234,4995,37093,234,114,315,869,5,,,,1,,,Boston Col.,College Stats
1,4,OAK,Darren McFadden\McFaDa00,RB,21,2016,0,0,4,39,32,101,1,4,16,1,0,1280,5346,28,252,2095,5,12,,,Arkansas,College Stats
1,5,KAN,Glenn Dorsey\DorsGl99,DT,23,2016,0,0,5,36,27,103,,,,,,,,,,,,224,,7.0,LSU,College Stats
1,6,NYJ,Vernon Gholston\GholVe99,DE,22,2010,0,0,0,8,8,45,,,,,,,,,,,,16,,,Ohio St.,College Stats
1,7,NOR,Sedrick Ellis\ElliSe99,DT,23,2012,0,0,5,27,27,70,,,,,,,,,,,,100,,12.5,USC,College Stats
1,8,JAX,Derrick Harvey\HarvDe99,DE,21,2011,0,0,2,14,14,52,,,,,,,,,,,,72,1,8.0,Florida,College Stats
1,9,CIN,Keith Rivers\RiveKe99,LB,22,2014,0,0,3,24,15,74,,,,,,,,,,,,183,2,3.0,USC,College Stats
1,10,NWE,Jerod Mayo\MayoJe99,LB,22,2015,1,2,6,52,52,103,,,,,,,,,,,,535,3,11.0,Tennessee,College Stats
1,11,BUF,Leodis McKelvin\McKeLe99,DB,23,2016,0,0,4,27,27,109,,,,,,,,,,,,286,15,,Troy,College Stats
1,12,DEN,Ryan Clady\CladRy20,T,22,2016,2,4,6,62,62,107,,,,,,,,,,,,4,,,Boise St.,College Stats
1,13,CAR,Jonathan Stewart\StewJo00,RB,21,2016,0,1,3,43,43,114,,,,,,1470,6523,44,152,1234,6,8,,,Oregon,College Stats
1,14,CHI,Chris Williams\WillCh25,T,23,2014,0,0,4,25,16,79,,,,,,,,,1,4,0,2,,,Vanderbilt,
1,15,KAN,Branden Albert\AlbeBr20,G,23,2016,0,2,9,40,28,118,,,,,,,,,,,,5,,,Virginia,College Stats
1,16,ARI,Dominique Rodgers-Cromartie\RodgDo99,DB,22,2016,0,2,7,43,19,136,,,,,,,,,0,0,0,352,27,1.0,Tennessee St.,
1,17,DET,Gosder Cherilus\CherGo20,T,24,2016,0,0,8,49,28,130,,,,,,,,,,,,3,,,Boston Col.,College Stats
1,18,BAL,Joe Flacco\FlacJo00,QB,23,2016,0,0,9,75,75,136,2853,4649,32110,181,115,301,712,15,2,35,0,6,,,Delaware,College Stats
1,19,CAR,Jeff Otah\OtahJe20,T,22,2011,0,0,2,13,13,29,,,,,,,,,,,,2,,,Pittsburgh,College Stats
1,20,TAM,Aqib Talib\TaliAq99,DB,22,2016,0,3,7,46,16,118,,,,,,,,,,,,334,33,1.0,Kansas,College Stats
1,21,ATL,Sam Baker\BakeSa21,T,23,2014,0,0,3,32,32,75,,,,,,,,,,,,3,,,USC,College Stats
1,22,DAL,Felix Jones\JoneFe00,RB,21,2013,0,0,1,27,26,80,,,,,,617,2912,11,137,1129,3,4,,,Arkansas,College Stats
1,23,PIT,Rashard Mendenhall\MendRa00,RB,21,2013,0,0,4,29,26,72,,,,,,1081,4236,37,95,795,2,6,,,Illinois,College Stats
