Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Marshall Faulk\FaulMa00,STL,RB,27,14,14,0,0,0,0,0,253,1359,5.37,18,113,81,830,10.25,8,381,465.9,419.4,228,1,1
2,Edgerrin James\JameEd00,IND,RB,22,16,16,0,0,0,0,0,387,1709,4.42,13,87,63,594,9.43,5,340,406.8,366.8,188,2,2
3,Daunte Culpepper\CulpDa00,MIN,QB,23,16,16,297,474,3937,33,16,89,470,5.28,7,0,0,0,,0,350,367,355.5,149,1,3
4,Jeff Garcia\GarcJe00,SFO,QB,30,16,16,355,561,4278,31,10,72,414,5.75,4,0,0,0,,0,343,355,345.5,141,2,4
5,Eddie George\GeorEd00,TEN,RB,27,16,16,0,0,0,0,0,403,1509,3.74,14,65,50,453,9.06,2,292,345.7,312.2,140,3,5
6,Randy Moss\MossRa00,MIN,WR,23,16,16,0,0,0,0,0,3,5,1.67,0,129,77,1437,18.66,15,236,315.2,272.7,125,1,6
7,Tony Gonzalez\GonzTo00,KAN,TE,24,16,16,0,0,0,0,0,0,0,,0,150,93,1203,12.94,9,174,270.3,220.8,116,1,7
8,Terrell Owens\OwenTe00,SFO,WR,27,14,13,0,0,0,0,0,3,11,3.67,0,146,97,1451,14.96,13,226,324.7,271.7,115,2,8
9,Marvin Harrison\HarrMa00,IND,WR,28,16,16,0,0,0,0,0,0,0,,0,169,102,1413,13.85,14,225,329.3,274.3,114,3,9
10,Rod Smith\SmitRo01,DEN,WR,30,16,16,0,0,0,0,0,6,99,16.5,1,173,100,1602,16.02,8,224,326.6,273.1,113,4,10
11,Mike Anderson\AndeMi00,DEN,RB,27,16,12,0,0,0,0,0,297,1487,5.01,15,32,23,169,7.35,0,258,284.6,265.1,105,4,11
12,Rich Gannon\GannRi00,OAK,QB,35,16,16,284,473,3430,28,11,89,529,5.94,4,0,0,0,,0,306,318.6,308.1,105,3,12
13,Ahman Green\GreeAh00,GNB,RB,23,16,11,0,1,0,0,0,263,1175,4.47,10,99,73,559,7.66,3,251,327.4,281.9,99,5,13
14,Peyton Manning\MannPe00,IND,QB,24,16,16,357,571,4413,33,15,37,116,3.14,1,0,0,0,,0,300,318.6,310.1,99,4,14
15,Fred Taylor\TaylFr00,JAX,RB,24,13,13,0,0,0,0,0,292,1399,4.79,12,53,36,240,6.67,2,248,287.9,261.9,95,6,15
16,Robert Smith\SmitRo00,MIN,RB,28,16,16,0,0,0,0,0,295,1521,5.16,7,44,36,348,9.67,3,247,286.9,260.9,94,7,16
17,Jamal Lewis\LewiJa00,BAL,WR,21,16,13,0,0,0,0,0,309,1364,4.41,6,36,27,296,10.96,0,204,234,211.5,93,5,17
18,Derrick Alexander\AlexDe00,KAN,WR,29,16,16,0,0,0,0,0,3,45,15,0,144,78,1391,17.83,10,204,284.6,242.6,93,6,18
19,Donovan McNabb\McNaDo00,PHI,QB,24,16,16,330,569,3365,21,13,86,629,7.31,6,4,2,5,2.5,0,294,311.5,301,93,5,19
20,Isaac Bruce\BrucIs00,STL,WR,28,16,16,0,0,0,0,0,1,11,11,0,135,87,1471,16.91,9,202,291.7,244.7,91,7,20
21,Curtis Martin\MartCu00,NYJ,RB,27,16,16,1,1,18,1,0,316,1204,3.81,9,96,70,508,7.26,2,242,316.9,274.9,89,8,21
22,Torry Holt\HoltTo00,STL,WR,24,16,15,0,0,0,0,0,2,7,3.5,0,139,82,1635,19.94,6,200,284.2,239.2,89,8,22
23,Ricky Watters\WattRi00,SEA,RB,31,16,16,0,0,0,0,0,278,1242,4.47,7,92,63,613,9.73,2,240,306,266,87,9,23
24,Charlie Garner\GarnCh00,SFO,RB,28,16,15,0,0,0,0,0,258,1142,4.43,7,94,68,647,9.51,3,239,310.9,268.9,86,10,24
