Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
171,Owen Daniels\DaniOw00,HOU,TE,24,14,12,0,0,0,0,0,0,0,,0,51,34,352,10.35,5,65,102.2,82.2,,15,
172,Ernest Wilford\WilfEr00,JAX,WR,27,16,12,0,0,0,0,0,0,0,,0,74,36,524,14.56,2,64,102.9,81.4,,64,
173,Anthony Thomas\ThomAn01,BUF,RB,29,16,2,0,0,0,0,0,107,378,3.53,2,24,22,139,6.32,0,64,91.2,73.7,,54,
174,Brandon Jones\JoneBr02,TEN,WR,24,16,10,0,0,0,0,0,1,3,3,0,53,27,384,14.22,4,63,92.7,76.2,,66,
175,LaMont Jordan\JordLa00,OAK,RB,28,9,8,0,0,0,0,0,114,434,3.81,2,16,10,74,7.4,0,63,75.3,66.8,,55,
176,Samie Parker\ParkSa00,KAN,WR,25,16,15,0,0,0,0,0,3,7,2.33,0,68,41,561,13.68,1,63,106.8,83.3,,65,
177,Sammy Morris\MorrSa00,MIA,RB,29,12,4,0,0,0,0,0,92,400,4.35,1,35,21,162,7.71,0,62,87.2,68.7,,56,
178,Eric Moulds\MoulEr00,HOU,WR,33,16,16,0,0,0,0,0,1,6,6,0,78,57,557,9.77,1,62,121.8,89.8,,67,
179,Marcus Robinson\RobiMa00,MIN,WR,31,10,3,0,0,0,0,0,0,0,,0,58,29,381,13.14,4,62,93.1,74.6,,68,
180,Doug Gabriel\GabrDo00,2TM,WR,26,15,5,0,0,0,0,0,0,0,,0,54,30,428,14.27,3,61,93.3,74.8,,69,
181,Dallas Clark\ClarDa00,IND,TE,27,12,12,0,0,0,0,0,0,0,,0,57,30,367,12.23,4,61,93.7,75.7,,16,
182,Peerless Price\PricPe00,BUF,WR,30,16,15,0,0,0,0,0,5,18,3.6,0,78,49,402,8.2,3,60,111.5,83.5,,70,
183,Cedrick Wilson\WilsCe00,PIT,WR,28,15,12,1,1,21,0,0,2,14,7,0,69,37,504,13.62,1,59,97.6,75.1,,71,
184,Bobby Wade\WadeBo00,TEN,WR,25,16,2,0,0,0,0,0,0,0,,0,58,33,461,13.97,2,58,93.1,72.6,,72,
185,Terrance Copper\CoppTe00,NOR,WR,24,15,4,0,0,0,0,0,1,8,8,0,42,23,385,16.74,3,57,82.3,66.8,,73,
186,Bo Scaife\ScaiBo00,TEN,TE,25,14,12,0,0,0,0,0,1,13,13,1,56,29,370,12.76,2,56,87.8,69.8,,17,
187,Hank Baskett\BaskHa00,PHI,WR,24,16,5,0,1,0,0,1,0,0,,0,42,22,464,21.09,2,56,82.4,68.4,,74,
188,Andrew Walter\WaltAn00,OAK,QB,24,12,8,147,276,1677,3,13,14,30,2.14,0,0,0,0,,0,56,65.6,56.1,,40,
189,Drew Carter\CartDr00,CAR,WR,25,14,2,0,0,0,0,0,2,18,9,0,51,28,357,12.75,3,56,86.5,69.5,,75,
190,Dan Campbell\CampDa00,DET,TE,30,16,11,0,0,0,0,0,0,0,,0,32,21,308,14.67,4,55,78.8,65.3,,18,
191,Amani Toomer\ToomAm00,NYG,WR,32,8,8,0,0,0,0,0,1,0,0,0,43,32,360,11.25,3,54,89,70,,77,
192,Josh Reed\ReedJo01,BUF,WR,26,13,1,0,0,0,0,0,4,13,3.25,0,48,34,410,12.06,2,54,91.3,71.3,,76,
193,Chris Baker\BakeCh00,NYJ,TE,27,16,14,0,0,0,0,0,0,0,,0,45,31,300,9.68,4,54,88,69.5,,19,
194,Noah Herron\HerrNo00,GNB,RB,24,16,0,0,0,0,0,0,37,150,4.05,1,35,29,211,7.28,2,54,88.1,66.6,,57,
195,Tony Scheffler\ScheTo00,DEN,TE,23,13,5,0,0,0,0,0,1,3,3,0,37,18,286,15.89,4,53,73.9,61.9,,20,
196,Aaron Brooks\BrooAa00,OAK,QB,30,8,8,110,192,1105,3,8,22,124,5.64,0,0,0,0,,0,53,64.1,55.6,,41,
197,George Wrighster\WrigGe00,JAX,WR,25,16,10,0,0,0,0,0,0,0,,0,63,39,353,9.05,3,53,95.3,72.8,,78,
198,Najeh Davenport\DaveNa00,PIT,RB,27,13,0,0,0,0,0,0,60,221,3.68,1,21,15,193,12.87,1,53,73.4,58.9,,58,
199,Demetrius Williams\WillDe03,BAL,WR,23,16,0,0,0,0,0,0,0,0,,0,45,22,396,18,2,52,76.6,62.6,,79,
200,Justin Griffith\GrifJu00,ATL,RB,26,16,11,0,0,0,0,0,19,106,5.58,1,28,23,168,7.3,3,51,78.9,59.9,,59,
201,Roddy White\WhitRo00,ATL,WR,25,16,5,0,0,0,0,0,0,0,,0,65,30,506,16.87,0,51,83.1,64.6,,80,
202,Ashley Lelie\LeliAs00,ATL,WR,26,15,10,0,0,0,0,0,0,0,,0,68,28,430,15.36,1,49,80,63,,81,
203,Jerramy Stevens\StevJe00,SEA,TE,27,11,6,0,0,0,0,0,0,0,,0,48,22,231,10.5,4,49,73.6,59.1,,21,
204,Daunte Culpepper\CulpDa00,MIA,QB,29,4,4,81,134,929,2,3,10,20,2,1,0,0,0,,0,47,51.7,47.2,,42,
205,Greg Lewis\LewiGr01,PHI,WR,26,16,3,0,0,0,0,0,0,0,,0,34,24,348,14.5,2,47,73.3,57.8,,82,
206,Troy Williamson\WillTr01,MIN,WR,23,14,11,0,0,0,0,0,0,0,,0,76,37,455,12.3,0,46,85.5,64,,87,
207,Michael Clayton\ClayMi00,TAM,WR,24,12,9,0,0,0,0,0,5,41,8.2,0,65,33,356,10.79,1,46,80.7,60.2,,86,
208,Roscoe Parrish\ParrRo00,BUF,WR,24,16,1,0,0,0,0,0,2,18,9,0,40,23,320,13.91,2,46,76.8,61.3,,85,
209,Ike Hilliard\HillIk00,TAM,WR,30,16,0,0,0,0,0,0,0,0,,0,55,34,339,9.97,2,46,81.4,59.9,,84,
210,Mark Bradley\BradMa00,CHI,WR,24,10,0,0,0,0,0,0,0,0,,0,23,14,282,20.14,3,46,63.2,53.2,,83,
211,Vernon Davis\DaviVe00,SFO,TE,22,10,8,0,0,0,0,0,2,5,2.5,0,42,20,265,13.25,3,45,67.5,54,,22,
212,Jermaine Wiggins\WiggJe00,MIN,TE,31,16,3,0,0,0,0,0,0,0,,0,67,46,386,8.39,1,45,93.1,66.6,,23,
213,Keenan McCardell\McCaKe00,SDG,WR,36,14,11,0,0,0,0,0,1,8,8,0,51,36,437,12.14,0,45,82.5,60.5,,88,
214,Mike Alstott\AlstMi00,TAM,RB,33,16,15,0,0,0,0,0,60,171,2.85,3,38,21,85,4.05,0,44,67.1,53.1,,60,
215,Brandon Marshall\MarsBr00,DEN,WR,22,15,1,0,0,0,0,0,2,12,6,0,37,20,309,15.45,2,44,66.6,53.1,,89,
216,Alex Smith\SmitAl02,TAM,TE,24,14,7,0,0,0,0,0,0,0,,0,53,35,250,7.14,3,43,80.5,59.5,,24,
217,Billy McMullen\McMuBi00,MIN,WR,26,16,0,0,0,0,0,0,0,0,,0,42,23,307,13.35,2,43,74.7,60.2,,90,
218,Rashied Davis\DaviRa00,CHI,WR,27,16,2,0,0,0,0,0,0,0,,0,56,22,303,13.77,2,42,66.8,52.3,,91,
219,Tim Rattay\RattTi00,TAM,QB,29,4,2,61,101,748,4,2,4,3,0.75,0,0,0,0,,0,42,46.2,42.2,,43,
220,Ruvell Martin\MartRu00,GNB,WR,24,13,3,0,0,0,0,0,0,0,,0,43,21,358,17.05,1,42,65.8,52.3,,92,
221,Kenny Watson\WatsKe00,CIN,RB,28,16,0,0,0,0,0,0,25,138,5.52,1,32,23,213,9.26,0,41,70.1,52.6,,61,
222,Eric Johnson\JohnEr00,SFO,TE,27,13,9,0,0,0,0,0,0,0,,0,49,34,292,8.59,2,41,78.2,58.2,,25,
223,Charlie Batch\BatcCh00,PIT,QB,32,8,1,31,53,492,5,0,13,15,1.15,0,0,0,0,,0,41,43.7,40.2,,44,
224,Courtney Anderson\AndeCo00,OAK,TE,26,16,11,0,0,0,0,0,0,0,,0,43,25,285,11.4,2,41,68,52,,26,
225,Justin McCareins\McCaJu00,NYJ,WR,28,16,7,0,0,0,0,0,0,0,,0,40,23,347,15.09,1,41,66.2,51.2,,93,
226,Robert Royal\RoyaRo00,BUF,TE,27,16,15,0,0,0,0,0,1,-9,-9,0,39,23,233,10.13,3,40,66.4,51.9,,27,
227,Derek Anderson\AndeDe00,CLE,QB,23,5,3,66,117,793,5,8,4,47,11.75,0,0,0,0,,0,40,50.4,46.4,,45,
228,Kyle Boller\BollKy00,BAL,QB,25,5,0,33,55,485,5,2,22,34,1.55,0,0,0,0,,0,39,42.3,37.8,,46,
229,Malcom Floyd\FloyMa00,SDG,WR,25,12,0,0,0,0,0,0,0,0,,0,32,15,210,14,3,39,57,46.5,,94,
230,Artose Pinner\PinnAr00,MIN,RB,28,12,1,0,0,0,0,0,43,190,4.42,3,4,2,15,7.5,0,39,43,38.5,,62,
231,Ben Utecht\UtecBe00,IND,TE,25,15,15,0,0,0,0,0,0,0,,0,53,37,377,10.19,0,38,77.2,55.2,,28,
232,Mack Strong\StroMa00,SEA,RB,35,16,10,0,0,0,0,0,33,149,4.52,1,44,29,159,5.48,0,37,70.8,49.3,,64,
233,Brandon Lloyd\LloyBr00,WAS,WR,25,15,12,0,0,0,0,0,0,0,,0,57,23,365,15.87,0,37,62,47,,96,
234,Steve Heiden\HeidSt00,CLE,RB,30,16,6,0,0,0,0,0,0,0,,0,46,36,249,6.92,2,37,75.9,54.9,,63,
235,Tim Carter\CartTi00,NYG,WR,27,16,8,0,0,0,0,0,0,0,,0,48,22,253,11.5,2,37,67.8,53.3,,95,
236,Daniel Graham\GrahDa00,NWE,TE,28,12,11,0,0,0,0,0,0,0,,0,34,21,235,11.19,2,36,59,45,,29,
237,Samkon Gado\GadoSa00,2TM,RB,24,9,1,0,0,0,0,0,56,210,3.75,1,23,17,85,5,0,36,55,43,,65,
238,Bobby Engram\EngrBo00,SEA,WR,33,7,6,0,0,0,0,0,1,4,4,0,36,24,290,12.08,1,35,62.4,47.4,,97,
239,Chad Jackson\JackCh00,NWE,WR,21,12,1,0,0,0,0,0,4,22,5.5,0,19,13,152,11.69,3,35,51.4,41.9,,98,
240,Daniel Wilcox\WilcDa01,BAL,TE,29,14,6,0,0,0,0,0,0,0,,0,27,20,166,8.3,3,35,56.6,42.6,,30,
241,Ovie Mughelli\MughOv00,BAL,RB,26,16,8,0,0,0,0,0,12,50,4.17,0,24,21,182,8.67,2,35,58.7,44.7,,66,
242,Arlen Harris\HarrAr00,DET,RB,26,10,3,0,0,0,0,0,49,158,3.22,1,25,18,132,7.33,0,35,59,44,,67,
243,Marcel Shipp\ShipMa00,ARI,RB,28,15,0,0,0,0,0,0,17,41,2.41,4,11,6,60,10,0,34,40.1,37.1,,68,
244,Dante Hall\HallDa00,KAN,WR,28,15,0,0,0,0,0,0,3,11,3.67,0,40,26,204,7.85,2,34,67.5,50.5,,99,
245,Tarvaris Jackson\JackTa00,MIN,QB,23,4,2,47,81,475,2,4,15,77,5.13,1,0,0,0,,0,33,37.7,32.7,,47,
246,Kris Wilson\WilsKr00,KAN,TE,25,16,10,0,0,0,0,0,0,0,,0,24,15,132,8.8,3,33,49.2,38.7,,32,
247,Stephen Davis\DaviSt00,STL,RB,32,15,0,0,0,0,0,0,40,177,4.43,0,17,12,90,7.5,1,33,47.2,37.7,,70,
248,Troy Walters\WaltTr00,ARI,WR,30,15,3,0,0,0,0,0,0,0,,0,35,23,209,9.09,2,33,57.4,41.4,,100,
249,Matt Schobel\SchoMa00,PHI,TE,28,16,4,0,0,0,0,0,0,0,,0,20,14,214,15.29,2,33,49.9,39.4,,31,
250,ReShard Lee\LeexRe00,OAK,RB,26,16,3,0,0,0,0,0,21,72,3.43,2,25,20,138,6.9,0,33,55.5,42,,69,
251,Bryan Fletcher\FletBr00,IND,TE,27,15,3,0,0,0,0,0,0,0,,0,25,18,202,11.22,2,32,53.2,41.2,,33,
252,David Martin\MartDa00,GNB,TE,27,11,4,0,0,0,0,0,0,0,,0,36,21,198,9.43,2,32,55.8,42.3,,34,
253,David Tyree\TyreDa00,NYG,WR,26,16,1,0,0,0,0,0,0,0,,0,33,19,197,10.37,2,32,53.7,41.2,,101,
254,Nate Burleson\BurlNa00,SEA,WR,25,16,7,0,0,0,0,0,0,0,,0,37,18,192,10.67,2,31,57.2,44.2,,102,
255,Mike Karney\KarnMi00,NOR,RB,25,15,7,0,0,0,0,0,11,33,3,1,20,15,96,6.4,2,31,45.9,38.4,,71,
256,Reggie Kelly\KellRe00,CIN,TE,29,16,16,0,0,0,0,0,0,0,,0,33,21,254,12.1,1,31,55.4,41.9,,35,
