Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,DET,Matthew Stafford\StafMa00,QB,21,2016,0,1,7,64,64,107,2582,4198,29696,185,106,241,850,13,2,-3,0,7,,,Georgia,College Stats
1,2,STL,Jason Smith\SmitJa22,T,23,2012,0,0,1,10,9,45,,,,,,,,,,,,3,,,Baylor,College Stats
1,3,KAN,Tyson Jackson\JackTy98,DE,23,2016,0,0,6,33,24,120,,,,,,,,,,,,165,,9.0,LSU,College Stats
1,4,SEA,Aaron Curry\CurrAa99,LB,23,2012,0,0,3,17,13,48,,,,,,,,,,,,190,,5.5,Wake Forest,College Stats
1,5,NYJ,Mark Sanchez\SancMa00,QB,22,2016,0,0,5,34,27,76,1286,2268,15134,86,84,167,449,13,,,,3,,,USC,College Stats
1,6,CIN,Andre Smith\SmitAn23,T,22,2016,0,0,5,37,37,86,,,,,,,,,,,,7,,,Alabama,College Stats
1,7,OAK,Darrius Heyward-Bey\HeywDa00,WR,22,2016,0,0,5,21,16,112,,,,,,12,169,1,198,2795,16,11,,,Maryland,College Stats
1,8,JAX,Eugene Monroe\MonrEu20,T,22,2015,0,0,6,33,22,93,,,,,,,,,,,,1,,,Virginia,College Stats
1,9,GNB,B.J. Raji\RajiBJ99,DT,23,2015,0,1,5,33,33,91,,,,,,1,1,1,,,,104,,11.0,Boston Col.,College Stats
1,10,SFO,Michael Crabtree\CrabMi00,WR,22,2016,0,0,7,42,34,109,,,,,,3,18,0,509,6115,43,6,,,Texas Tech,College Stats
1,11,BUF,Aaron Maybin\MaybAa99,DE,21,2012,0,0,0,5,2,48,,,,,,,,,,,,25,,6.0,Penn St.,College Stats
1,12,DEN,Knowshon Moreno\MoreKn00,RB,22,2014,0,0,3,33,32,63,,,,,,877,3616,27,158,1409,9,3,,,Georgia,College Stats
1,13,WAS,Brian Orakpo\OrakBr99,LB,23,2016,0,3,6,40,36,101,,,,,,,,,,,,243,1,58.0,Texas,College Stats
1,14,NOR,Malcolm Jenkins\JenkMa99,DB,21,2016,0,1,7,40,26,117,,,,,,,,,,,,462,12,5.5,Ohio St.,College Stats
