Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,CIN,Carson Palmer\PalmCa00,QB,23,2016,0,3,11,100,63,173,3741,5976,43730,281,179,286,463,8,0,0,0,18,,,USC,College Stats
1,2,DET,Charles Rogers\RogeCh01,WR,22,2005,0,0,0,4,4,15,,,,,,2,17,0,36,440,4,,,,Michigan St.,College Stats
1,3,HOU,Andre Johnson\JohnAn02,WR,22,2016,2,7,12,95,93,193,,,,,,23,54,0,1062,14185,70,39,,,Miami (FL),College Stats
1,4,NYJ,Dewayne Robertson\RobeDe20,DT,21,2008,0,0,6,34,31,92,,,,,,,,,,,,186,,16.0,Kentucky,
1,5,DAL,Terence Newman\NewmTe20,DB,25,2016,0,2,12,68,51,203,,,,,,1,4,0,,,,720,41,2.0,Kansas St.,College Stats
1,6,NOR,Johnathan Sullivan\SullJo23,DT,22,2005,0,0,1,10,10,36,,,,,,,,,,,,56,,1.5,Georgia,
1,7,JAX,Byron Leftwich\LeftBy00,QB,23,2012,0,0,3,33,30,60,930,1605,10532,58,42,137,415,10,1,-7,0,5,,,Marshall,College Stats
1,8,CAR,Jordan Gross\GrosJo20,T,23,2013,1,3,11,72,72,167,,,,,,,,,0,1,0,7,,,Utah,College Stats
1,9,MIN,Kevin Williams\WillKe98,DT,23,2015,5,6,12,99,94,203,,,,,,,,,,,,373,5,63.0,Oklahoma St.,
1,10,BAL,Terrell Suggs\SuggTe99,LB,20,2016,1,6,12,96,96,195,,,,,,,,,,,,537,7,114.5,Arizona St.,College Stats
1,11,SEA,Marcus Trufant\TrufMa20,DB,22,2012,0,1,8,50,50,136,,,,,,,,,,,,563,21,2.0,Washington St.,College Stats
1,12,STL,Jimmy Kennedy\KennJi21,DT,23,2011,0,0,2,17,13,92,,,,,,,,,,,,95,,8.5,Penn St.,College Stats
1,13,NWE,Ty Warren\WarrTy20,DE,22,2012,0,0,6,44,44,107,,,,,,,,,,,,254,,20.5,Texas A&M,
1,14,CHI,Michael Haynes\HaynMi20,DE,23,2005,0,0,0,8,8,43,,,,,,,,,,,,48,1,5.5,Penn St.,College Stats
1,15,PHI,Jerome McDougle\McDoJe20,DE,24,2008,0,0,0,3,3,37,,,,,,,,,,,,30,,3.0,Miami (FL),College Stats
1,16,PIT,Troy Polamalu\PolaTr99,DB,22,2014,4,8,9,94,94,158,,,,,,,,,,,,581,32,12.0,USC,College Stats
1,17,ARI,Bryant Johnson\JohnBr02,WR,22,2011,0,0,4,25,18,139,,,,,,5,-8,0,314,3938,16,23,,,Penn St.,College Stats
1,18,ARI,Calvin Pace\PaceCa20,DE,22,2015,0,0,10,72,19,187,,,,,,,,,,,,462,3,60.0,Wake Forest,
1,19,BAL,Kyle Boller\BollKy00,QB,22,2011,0,0,4,17,18,67,861,1519,8931,48,54,176,572,2,0,0,0,8,,,California,College Stats
1,20,DEN,George Foster\FostGe20,T,23,2008,0,0,4,31,25,68,,,,,,,,,,,,,,,Georgia,
1,21,CLE,Jeff Faine\FainJe20,C,22,2012,0,0,9,46,11,125,,,,,,1,0,0,1,-1,0,1,,,Notre Dame,
1,22,CHI,Rex Grossman\GrosRe00,QB,23,2012,0,0,2,23,16,54,863,1562,10232,56,60,81,106,4,1,-4,0,3,,,Florida,College Stats
1,23,BUF,Willis McGahee\McGaWi00,RB,21,2013,0,2,7,55,26,142,,,,,,2095,8474,65,210,1339,5,7,,,Miami (FL),College Stats
1,24,IND,Dallas Clark\ClarDa00,TE,24,2013,1,1,8,51,47,143,,,,,,4,40,0,505,5665,53,22,,,Iowa,College Stats
1,25,NYG,William Joseph\JoseWi20,DT,24,2009,0,0,1,11,10,69,,,,,,,,,,,,60,,7.0,Miami (FL),College Stats
1,26,SFO,Kwame Harris\HarrKw20,T,21,2008,0,0,3,23,18,86,,,,,,,,,,,,,,,Stanford,
1,27,KAN,Larry Johnson\JohnLa00,RB,23,2011,1,2,4,51,50,85,1,3,4,1,0,1427,6223,55,154,1373,6,8,,,Penn St.,College Stats
1,28,TEN,Andre Woolfolk\WoolAn20,DB,23,2006,0,0,0,6,6,39,,,,,,,,,,,,105,3,,Oklahoma,College Stats
1,29,GNB,Nick Barnett\BarnNi20,LB,22,2013,0,0,9,62,51,153,,,,,,,,,,,,732,12,20.5,Oregon St.,College Stats
1,30,SDG,Sammy Davis\DaviSa21,DB,23,2007,0,0,2,12,11,71,,,,,,,,,,,,141,3,1.0,Texas A&M,College Stats
