Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,KAN,Eric Fisher\FishEr00,T,22,2016,0,0,4,21,21,60,,,,,,,,,0,-5,0,2,,,Central Michigan,
1,2,JAX,Luke Joeckel\JoecLu00,T,21,2016,0,0,2,15,15,39,,,,,,,,,,,,2,,,Texas A&M,College Stats
1,3,MIA,Dion Jordan\JordDi00,DE,23,2014,0,0,0,3,3,26,,,,,,,,,,,,39,,3.0,Oregon,College Stats
1,4,PHI,Lane Johnson\JohnLa01,T,23,2016,0,0,3,19,19,48,,,,,,,,,,,,1,,,Oklahoma,
1,5,DET,Ezekiel Ansah\AnsaEz00,DE,24,2016,0,1,4,26,26,57,,,,,,,,,,,,111,,31.0,BYU,College Stats
1,6,CLE,Barkevious Mingo\MingBa00,LB,22,2016,0,0,1,11,11,60,,,,,,,,,,,,72,1,7.0,LSU,College Stats
1,7,ARI,Jonathan Cooper\CoopJo01,G,23,2016,0,0,1,6,6,28,,,,,,,,,,,,,,,North Carolina,College Stats
1,8,STL,Tavon Austin\AustTa00,WR,22,2016,0,0,3,16,16,57,0,1,0,0,0,120,940,7,177,1610,12,2,,,West Virginia,College Stats
1,9,NYJ,Dee Milliner\MillDe00,DB,22,2015,0,0,1,6,6,21,,,,,,,,,,,,50,3,,Alabama,College Stats
1,10,TEN,Chance Warmack\WarmCh00,G,22,2016,0,0,3,18,18,48,,,,,,,,,,,,1,,,Alabama,College Stats
1,11,SDG,D.J. Fluker\FlukDJ00,T,22,2016,0,0,4,23,23,57,,,,,,,,,,,,1,,,Alabama,
1,12,OAK,D.J. Hayden\HaydDJ00,DB,23,2016,0,0,1,9,9,45,,,,,,,,,,,,161,3,1.0,Houston,College Stats
1,13,NYJ,Sheldon Richardson\RichSh00,DT,22,2016,0,1,3,20,20,56,,,,,,4,4,2,,,,138,,18.0,Missouri,College Stats
1,14,CAR,Star Lotulelei\LotuSt00,DT,23,2016,0,0,3,20,20,58,,,,,,,,,,,,80,,10.0,Utah,College Stats
1,15,NOR,Kenny Vaccaro\VaccKe00,DB,22,2016,0,0,4,14,14,56,,,,,,,,,,,,235,5,6.0,Texas,College Stats
1,16,BUF,EJ Manuel\ManuEJ00,QB,23,2016,0,0,1,9,9,28,310,527,3416,19,15,92,316,4,,,,2,,,Florida St.,College Stats
1,17,PIT,Jarvis Jones\JoneJa05,LB,23,2016,0,0,1,14,14,49,,,,,,,,,,,,81,2,5.0,Georgia,College Stats
1,18,SFO,Eric Reid\ReidEr00,DB,21,2016,0,1,4,19,19,57,,,,,,,,,,,,212,8,1.0,LSU,College Stats
1,19,NYG,Justin Pugh\PughJu00,T,23,2016,0,0,3,20,20,53,,,,,,,,,,,,4,,,Syracuse,College Stats
1,20,CHI,Kyle Long\LongKy00,G,24,2016,0,3,3,30,30,55,,,,,,,,,1,-1,0,4,,,Oregon,
1,21,CIN,Tyler Eifert\EifeTy00,TE,23,2016,0,1,2,10,10,37,,,,,,,,,123,1491,20,6,,,Notre Dame,College Stats
1,22,ATL,Desmond Trufant\TrufDe00,DB,23,2016,0,1,3,19,19,57,,,,,,,,,,,,168,7,3.0,Washington,College Stats
1,23,MIN,Sharrif Floyd\FloySh00,DT,22,2016,0,0,2,13,13,44,,,,,,,,,,,,57,,9.5,Florida,College Stats
1,24,IND,Bjoern Werner\WernBj00,DE,23,2015,0,0,1,10,10,38,,,,,,,,,,,,57,,6.5,Florida St.,College Stats
1,25,MIN,Xavier Rhodes\RhodXa00,DB,23,2016,0,0,3,13,13,57,,,,,,,,,,,,169,6,,Florida St.,College Stats
1,26,GNB,Datone Jones\JoneDa03,DE,23,2016,0,0,0,7,7,57,,,,,,,,,,,,53,1,9.0,UCLA,College Stats
1,27,HOU,DeAndre Hopkins\HopkDe00,WR,21,2016,0,1,4,25,25,62,,,,,,,,,307,4321,23,4,,,Clemson,College Stats
1,28,DEN,Sylvester Williams\WillSy00,DT,24,2016,0,0,3,15,15,58,,,,,,,,,,,,67,,5.5,North Carolina,College Stats
1,29,MIN,Cordarrelle Patterson\PattCo00,WR,22,2016,1,1,0,14,14,62,,,,,,31,333,4,129,1264,7,,,,Tennessee,College Stats
